 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 93.905 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.844E+01  6.070E+02      36 A        14 A        10 A   
   1.50 keV   2.944E+01  6.260E+02      37 A        15 A        11 A   
   1.60 keV   3.041E+01  6.442E+02      38 A        15 A        11 A   
   1.70 keV   3.134E+01  6.616E+02      40 A        16 A        11 A   
   1.80 keV   3.225E+01  6.782E+02      41 A        16 A        12 A   
   2.00 keV   3.400E+01  7.096E+02      43 A        17 A        12 A   
   2.25 keV   3.606E+01  7.456E+02      45 A        18 A        13 A   
   2.50 keV   3.801E+01  7.788E+02      48 A        18 A        13 A   
   2.75 keV   3.986E+01  8.094E+02      50 A        19 A        14 A   
   3.00 keV   4.164E+01  8.379E+02      52 A        20 A        15 A   
   3.25 keV   4.334E+01  8.646E+02      55 A        21 A        15 A   
   3.50 keV   4.497E+01  8.896E+02      57 A        21 A        16 A   
   3.75 keV   4.655E+01  9.132E+02      59 A        22 A        16 A   
   4.00 keV   4.808E+01  9.355E+02      61 A        23 A        17 A   
   4.50 keV   5.099E+01  9.768E+02      65 A        24 A        18 A   
   5.00 keV   5.375E+01  1.014E+03      69 A        25 A        19 A   
   5.50 keV   5.638E+01  1.048E+03      72 A        26 A        20 A   
   6.00 keV   5.888E+01  1.080E+03      76 A        27 A        20 A   
   6.50 keV   6.129E+01  1.109E+03      80 A        28 A        21 A   
   7.00 keV   6.360E+01  1.136E+03      83 A        29 A        22 A   
   8.00 keV   6.799E+01  1.185E+03      90 A        31 A        24 A   
   9.00 keV   7.212E+01  1.229E+03      96 A        33 A        25 A   
  10.00 keV   7.602E+01  1.268E+03     102 A        35 A        27 A   
  11.00 keV   7.973E+01  1.302E+03     108 A        37 A        28 A   
  12.00 keV   8.327E+01  1.334E+03     114 A        39 A        29 A   
  13.00 keV   8.667E+01  1.363E+03     120 A        40 A        31 A   
  14.00 keV   8.995E+01  1.389E+03     125 A        42 A        32 A   
  15.00 keV   9.310E+01  1.414E+03     131 A        43 A        33 A   
  16.00 keV   9.616E+01  1.437E+03     136 A        45 A        35 A   
  17.00 keV   9.912E+01  1.458E+03     142 A        46 A        36 A   
  18.00 keV   1.020E+02  1.477E+03     147 A        48 A        37 A   
  20.00 keV   1.075E+02  1.512E+03     158 A        51 A        39 A   
  22.50 keV   1.140E+02  1.551E+03     170 A        54 A        42 A   
  25.00 keV   1.202E+02  1.584E+03     183 A        57 A        45 A   
  27.50 keV   1.261E+02  1.613E+03     195 A        61 A        47 A   
  30.00 keV   1.317E+02  1.638E+03     207 A        64 A        50 A   
  32.50 keV   1.370E+02  1.660E+03     219 A        67 A        53 A   
  35.00 keV   1.422E+02  1.680E+03     231 A        70 A        55 A   
  37.50 keV   1.472E+02  1.697E+03     242 A        73 A        57 A   
  40.00 keV   1.520E+02  1.713E+03     254 A        76 A        60 A   
  45.00 keV   1.613E+02  1.739E+03     276 A        81 A        64 A   
  50.00 keV   1.700E+02  1.760E+03     299 A        87 A        69 A   
  55.00 keV   1.783E+02  1.777E+03     321 A        93 A        74 A   
  60.00 keV   1.862E+02  1.791E+03     343 A        98 A        78 A   
  65.00 keV   1.938E+02  1.802E+03     364 A       103 A        82 A   
  70.00 keV   2.011E+02  1.811E+03     386 A       108 A        86 A   
  80.00 keV   2.150E+02  1.823E+03     429 A       119 A        95 A   
  90.00 keV   2.281E+02  1.830E+03     471 A       129 A       103 A   
 100.00 keV   2.404E+02  1.832E+03     514 A       139 A       111 A   
 110.00 keV   2.521E+02  1.832E+03     556 A       149 A       119 A   
