 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.053E-01  5.097E+00       4 A         1 A           A   
    1.2 eV    6.053E-01  5.415E+00       4 A         1 A           A   
    1.3 eV    6.300E-01  5.725E+00       4 A         1 A           A   
    1.4 eV    6.538E-01  6.026E+00       4 A         1 A           A   
    1.5 eV    6.767E-01  6.321E+00       4 A         1 A           A   
    1.6 eV    6.989E-01  6.609E+00       4 A         1 A           A   
    1.7 eV    7.204E-01  6.890E+00       5 A         1 A           A   
    1.8 eV    7.413E-01  7.167E+00       5 A         1 A         1 A   
      2 eV    7.814E-01  7.703E+00       5 A         1 A         1 A   
   2.25 eV    8.288E-01  8.349E+00       5 A         1 A         1 A   
2.49999 eV    8.737E-01  8.970E+00       5 A         1 A         1 A   
2.74999 eV    9.163E-01  9.570E+00       6 A         1 A         1 A   
2.99999 eV    9.570E-01  1.015E+01       6 A         1 A         1 A   
3.24999 eV    9.961E-01  1.071E+01       6 A         1 A         1 A   
3.49999 eV    1.034E+00  1.126E+01       6 A         1 A         1 A   
3.74999 eV    1.070E+00  1.180E+01       6 A         1 A         1 A   
3.99999 eV    1.105E+00  1.232E+01       7 A         1 A         1 A   
4.49999 eV    1.172E+00  1.333E+01       7 A         1 A         1 A   
4.99999 eV    1.236E+00  1.429E+01       7 A         2 A         1 A   
5.49999 eV    1.296E+00  1.522E+01       7 A         2 A         1 A   
