 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.046E+01  3.460E+02      73 A        16 A        12 A   
   1.50 keV   2.118E+01  3.563E+02      76 A        17 A        12 A   
   1.60 keV   2.187E+01  3.660E+02      78 A        17 A        12 A   
   1.70 keV   2.254E+01  3.753E+02      80 A        18 A        13 A   
   1.80 keV   2.320E+01  3.842E+02      83 A        18 A        13 A   
   2.00 keV   2.445E+01  4.009E+02      87 A        19 A        14 A   
   2.25 keV   2.593E+01  4.200E+02      92 A        20 A        14 A   
   2.50 keV   2.734E+01  4.374E+02      97 A        21 A        15 A   
   2.75 keV   2.867E+01  4.535E+02     102 A        22 A        16 A   
   3.00 keV   2.995E+01  4.683E+02     107 A        23 A        17 A   
   3.25 keV   3.117E+01  4.821E+02     111 A        23 A        17 A   
   3.50 keV   3.235E+01  4.950E+02     116 A        24 A        18 A   
   3.75 keV   3.348E+01  5.072E+02     120 A        25 A        19 A   
   4.00 keV   3.458E+01  5.186E+02     124 A        26 A        19 A   
   4.50 keV   3.668E+01  5.396E+02     133 A        27 A        20 A   
   5.00 keV   3.866E+01  5.585E+02     141 A        28 A        21 A   
   5.50 keV   4.055E+01  5.757E+02     148 A        30 A        23 A   
   6.00 keV   4.235E+01  5.914E+02     156 A        31 A        24 A   
   6.50 keV   4.408E+01  6.058E+02     163 A        32 A        25 A   
   7.00 keV   4.574E+01  6.192E+02     170 A        33 A        26 A   
   8.00 keV   4.890E+01  6.432E+02     184 A        35 A        28 A   
   9.00 keV   5.187E+01  6.641E+02     197 A        38 A        29 A   
  10.00 keV   5.467E+01  6.826E+02     210 A        40 A        31 A   
  11.00 keV   5.734E+01  6.992E+02     222 A        42 A        33 A   
  12.00 keV   5.989E+01  7.140E+02     235 A        43 A        35 A   
  13.00 keV   6.234E+01  7.274E+02     247 A        45 A        36 A   
  14.00 keV   6.469E+01  7.396E+02     258 A        47 A        38 A   
  15.00 keV   6.696E+01  7.508E+02     270 A        49 A        39 A   
  16.00 keV   6.916E+01  7.610E+02     281 A        50 A        41 A   
  17.00 keV   7.129E+01  7.704E+02     292 A        52 A        42 A   
  18.00 keV   7.335E+01  7.790E+02     304 A        54 A        44 A   
  20.00 keV   7.732E+01  7.945E+02     325 A        57 A        47 A   
  22.50 keV   8.201E+01  8.109E+02     352 A        61 A        50 A   
  25.00 keV   8.645E+01  8.247E+02     378 A        65 A        54 A   
  27.50 keV   9.067E+01  8.364E+02     404 A        68 A        57 A   
  30.00 keV   9.470E+01  8.463E+02     429 A        72 A        60 A   
  32.50 keV   9.857E+01  8.549E+02     454 A        75 A        63 A   
  35.00 keV   1.023E+02  8.622E+02     479 A        79 A        66 A   
  37.50 keV   1.059E+02  8.685E+02     503 A        82 A        69 A   
  40.00 keV   1.093E+02  8.739E+02     527 A        85 A        72 A   
  45.00 keV   1.160E+02  8.826E+02     575 A        92 A        78 A   
  50.00 keV   1.223E+02  8.889E+02     622 A        98 A        84 A   
  55.00 keV   1.282E+02  8.933E+02     669 A       104 A        90 A   
  60.00 keV   1.339E+02  8.963E+02     715 A       110 A        95 A   
  65.00 keV   1.394E+02  8.981E+02     761 A       116 A       101 A   
  70.00 keV   1.447E+02  8.990E+02     807 A       122 A       106 A   
  80.00 keV   1.546E+02  8.985E+02     898 A       134 A       116 A   
  90.00 keV   1.640E+02  8.958E+02     989 A       145 A       127 A   
 100.00 keV   1.729E+02  8.916E+02    1079 A       157 A       137 A   
 110.00 keV   1.813E+02  8.862E+02    1168 A       168 A       147 A   
 120.00 keV   1.894E+02  8.801E+02    1258 A       179 A       157 A   
 130.00 keV   1.971E+02  8.734E+02    1347 A       189 A       167 A   
 140.00 keV   2.046E+02  8.663E+02    1437 A       200 A       176 A   
 150.00 keV   2.118E+02  8.590E+02    1527 A       210 A       186 A   
 160.00 keV   2.187E+02  8.514E+02    1616 A       221 A       195 A   
 170.00 keV   2.254E+02  8.438E+02    1706 A       231 A       205 A   
 180.00 keV   2.320E+02  8.361E+02    1796 A       241 A       214 A   
 200.00 keV   2.549E+02  8.207E+02    1976 A       261 A       233 A   
 225.00 keV   2.859E+02  8.016E+02    2199 A       286 A       256 A   
