 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 21, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Polyethylene.txt

 Ion = Krypton [36] , Mass = 83.912 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.715E-01  5.405E+00       3 A         1 A           A   
    1.2 eV    9.715E-01  5.741E+00       3 A         1 A           A   
    1.3 eV    1.011E+00  6.067E+00       4 A         1 A           A   
    1.4 eV    1.049E+00  6.385E+00       4 A         1 A           A   
    1.5 eV    1.086E+00  6.696E+00       4 A         1 A           A   
    1.6 eV    1.122E+00  6.999E+00       4 A         1 A           A   
    1.7 eV    1.156E+00  7.296E+00       4 A         1 A           A   
    1.8 eV    1.190E+00  7.587E+00       4 A         1 A           A   
      2 eV    1.254E+00  8.152E+00       4 A         1 A         1 A   
   2.25 eV    1.330E+00  8.832E+00       5 A         1 A         1 A   
2.49999 eV    1.402E+00  9.485E+00       5 A         1 A         1 A   
2.74999 eV    1.471E+00  1.012E+01       5 A         1 A         1 A   
2.99999 eV    1.536E+00  1.073E+01       5 A         1 A         1 A   
3.24999 eV    1.599E+00  1.132E+01       5 A         1 A         1 A   
3.49999 eV    1.659E+00  1.189E+01       6 A         1 A         1 A   
3.74999 eV    1.717E+00  1.245E+01       6 A         1 A         1 A   
3.99999 eV    1.774E+00  1.300E+01       6 A         1 A         1 A   
4.49999 eV    1.881E+00  1.406E+01       6 A         1 A         1 A   
4.99999 eV    1.983E+00  1.507E+01       6 A         1 A         1 A   
5.49999 eV    2.080E+00  1.605E+01       7 A         1 A         1 A   
