 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silicon.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 400.00 keV   6.106E+02  1.717E+01    8798 A      1443 A      1605 A   
 450.00 keV   6.559E+02  1.577E+01    9536 A      1484 A      1676 A   
 500.00 keV   6.981E+02  1.461E+01    1.02 um     1519 A      1737 A   
 550.00 keV   7.373E+02  1.362E+01    1.09 um     1549 A      1792 A   
 600.00 keV   7.736E+02  1.277E+01    1.15 um     1575 A      1841 A   
 650.00 keV   8.071E+02  1.203E+01    1.21 um     1599 A      1886 A   
 700.00 keV   8.381E+02  1.138E+01    1.27 um     1619 A      1926 A   
 800.00 keV   8.927E+02  1.029E+01    1.38 um     1659 A      1998 A   
 900.00 keV   9.390E+02  9.408E+00    1.49 um     1693 A      2060 A   
   1.00 MeV   9.782E+02  8.677E+00    1.59 um     1722 A      2115 A   
   1.10 MeV   1.011E+03  8.060E+00    1.69 um     1748 A      2165 A   
   1.20 MeV   1.039E+03  7.533E+00    1.78 um     1771 A      2209 A   
   1.30 MeV   1.063E+03  7.076E+00    1.88 um     1793 A      2251 A   
   1.40 MeV   1.083E+03  6.676E+00    1.97 um     1812 A      2289 A   
   1.50 MeV   1.100E+03  6.322E+00    2.06 um     1831 A      2325 A   
   1.60 MeV   1.114E+03  6.008E+00    2.15 um     1848 A      2359 A   
   1.70 MeV   1.126E+03  5.725E+00    2.24 um     1865 A      2391 A   
   1.80 MeV   1.136E+03  5.470E+00    2.32 um     1880 A      2421 A   
   2.00 MeV   1.151E+03  5.028E+00    2.50 um     1917 A      2479 A   
   2.25 MeV   1.164E+03  4.574E+00    2.71 um     1965 A      2544 A   
   2.50 MeV   1.171E+03  4.201E+00    2.92 um     2009 A      2605 A   
   2.75 MeV   1.175E+03  3.888E+00    3.13 um     2052 A      2663 A   
   3.00 MeV   1.176E+03  3.622E+00    3.34 um     2092 A      2717 A   
   3.25 MeV   1.175E+03  3.392E+00    3.55 um     2132 A      2769 A   
   3.50 MeV   1.173E+03  3.192E+00    3.77 um     2170 A      2819 A   
   3.75 MeV   1.170E+03  3.016E+00    3.98 um     2207 A      2868 A   
   4.00 MeV   1.167E+03  2.859E+00    4.19 um     2243 A      2915 A   
   4.50 MeV   1.159E+03  2.594E+00    4.62 um     2353 A      3006 A   
   5.00 MeV   1.149E+03  2.376E+00    5.05 um     2459 A      3093 A   
   5.50 MeV   1.139E+03  2.195E+00    5.48 um     2561 A      3178 A   
   6.00 MeV   1.129E+03  2.041E+00    5.92 um     2660 A      3261 A   
   6.50 MeV   1.119E+03  1.908E+00    6.37 um     2757 A      3342 A   
   7.00 MeV   1.109E+03  1.793E+00    6.81 um     2852 A      3422 A   
