 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Silicon.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.529E+01  1.026E+02      65 A        50 A        37 A   
   1.50 keV   3.653E+01  1.037E+02      68 A        52 A        38 A   
   1.60 keV   3.773E+01  1.046E+02      72 A        55 A        40 A   
   1.70 keV   3.889E+01  1.054E+02      75 A        57 A        42 A   
   1.80 keV   4.002E+01  1.062E+02      79 A        59 A        43 A   
   2.00 keV   4.218E+01  1.075E+02      86 A        63 A        46 A   
   2.25 keV   4.474E+01  1.087E+02      94 A        69 A        50 A   
   2.50 keV   4.716E+01  1.097E+02     102 A        74 A        54 A   
   2.75 keV   4.946E+01  1.104E+02     111 A        79 A        58 A   
   3.00 keV   5.166E+01  1.109E+02     119 A        84 A        61 A   
   3.25 keV   5.377E+01  1.112E+02     127 A        89 A        65 A   
   3.50 keV   5.580E+01  1.115E+02     135 A        94 A        69 A   
   3.75 keV   5.776E+01  1.116E+02     143 A        98 A        72 A   
   4.00 keV   5.966E+01  1.117E+02     151 A       103 A        75 A   
   4.50 keV   6.328E+01  1.116E+02     168 A       112 A        82 A   
   5.00 keV   6.670E+01  1.112E+02     184 A       121 A        89 A   
   5.50 keV   6.995E+01  1.108E+02     200 A       130 A        95 A   
   6.00 keV   7.306E+01  1.102E+02     216 A       138 A       102 A   
   6.50 keV   7.605E+01  1.095E+02     232 A       147 A       108 A   
   7.00 keV   7.892E+01  1.087E+02     247 A       155 A       114 A   
   8.00 keV   8.437E+01  1.071E+02     279 A       171 A       126 A   
   9.00 keV   8.949E+01  1.055E+02     311 A       186 A       138 A   
  10.00 keV   9.433E+01  1.037E+02     343 A       202 A       149 A   
  11.00 keV   9.893E+01  1.020E+02     375 A       216 A       161 A   
  12.00 keV   1.033E+02  1.003E+02     406 A       231 A       172 A   
  13.00 keV   1.075E+02  9.856E+01     438 A       245 A       183 A   
  14.00 keV   1.116E+02  9.691E+01     470 A       259 A       194 A   
  15.00 keV   1.155E+02  9.530E+01     502 A       272 A       204 A   
  16.00 keV   1.193E+02  9.374E+01     533 A       285 A       215 A   
  17.00 keV   1.230E+02  9.222E+01     565 A       298 A       225 A   
  18.00 keV   1.266E+02  9.075E+01     596 A       310 A       235 A   
  20.00 keV   1.334E+02  8.796E+01     659 A       335 A       255 A   
  22.50 keV   1.415E+02  8.471E+01     738 A       364 A       280 A   
  25.00 keV   1.525E+02  8.172E+01     816 A       391 A       304 A   
  27.50 keV   1.665E+02  7.895E+01     891 A       416 A       327 A   
  30.00 keV   1.782E+02  7.640E+01     964 A       440 A       349 A   
  32.50 keV   1.879E+02  7.403E+01    1036 A       461 A       370 A   
  35.00 keV   1.961E+02  7.182E+01    1107 A       482 A       390 A   
  37.50 keV   2.032E+02  6.977E+01    1177 A       502 A       409 A   
  40.00 keV   2.094E+02  6.784E+01    1247 A       522 A       428 A   
  45.00 keV   2.200E+02  6.435E+01    1386 A       558 A       464 A   
  50.00 keV   2.291E+02  6.126E+01    1524 A       593 A       498 A   
  55.00 keV   2.373E+02  5.850E+01    1661 A       625 A       531 A   
  60.00 keV   2.449E+02  5.601E+01    1798 A       656 A       562 A   
  65.00 keV   2.519E+02  5.376E+01    1933 A       685 A       592 A   
  70.00 keV   2.585E+02  5.172E+01    2068 A       713 A       622 A   
  80.00 keV   2.709E+02  4.813E+01    2336 A       765 A       678 A   
  90.00 keV   2.825E+02  4.508E+01    2599 A       814 A       731 A   
 100.00 keV   2.937E+02  4.244E+01    2860 A       858 A       781 A   
 110.00 keV   3.047E+02  4.015E+01    3115 A       899 A       829 A   
 120.00 keV   3.156E+02  3.812E+01    3367 A       937 A       875 A   
 130.00 keV   3.264E+02  3.632E+01    3614 A       973 A       918 A   
 140.00 keV   3.373E+02  3.470E+01    3857 A      1006 A       960 A   
 150.00 keV   3.482E+02  3.324E+01    4095 A      1037 A       999 A   
 160.00 keV   3.591E+02  3.192E+01    4329 A      1066 A      1037 A   
 170.00 keV   3.701E+02  3.071E+01    4558 A      1093 A      1073 A   
 180.00 keV   3.811E+02  2.960E+01    4782 A      1119 A      1108 A   
 200.00 keV   4.031E+02  2.764E+01    5217 A      1166 A      1172 A   
 225.00 keV   4.306E+02  2.556E+01    5738 A      1217 A      1246 A   
 250.00 keV   4.579E+02  2.382E+01    6233 A      1262 A      1312 A   
 275.00 keV   4.848E+02  2.232E+01    6706 A      1302 A      1372 A   
 300.00 keV   5.112E+02  2.102E+01    7159 A      1337 A      1427 A   
 325.00 keV   5.371E+02  1.988E+01    7593 A      1368 A      1477 A   
 350.00 keV   5.623E+02  1.887E+01    8009 A      1395 A      1523 A   
 375.00 keV   5.868E+02  1.797E+01    8411 A      1420 A      1566 A   
