 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.339E+01  1.183E+02      89 A        36 A        26 A   
   1.50 keV   3.456E+01  1.184E+02      94 A        37 A        28 A   
   1.60 keV   3.569E+01  1.184E+02      99 A        39 A        29 A   
   1.70 keV   3.679E+01  1.184E+02     105 A        41 A        30 A   
   1.80 keV   3.786E+01  1.183E+02     110 A        43 A        31 A   
   2.00 keV   3.990E+01  1.180E+02     120 A        46 A        34 A   
   2.25 keV   4.232E+01  1.173E+02     132 A        50 A        37 A   
   2.50 keV   4.461E+01  1.165E+02     144 A        54 A        40 A   
   2.75 keV   4.679E+01  1.155E+02     157 A        58 A        43 A   
   3.00 keV   4.887E+01  1.145E+02     169 A        62 A        46 A   
   3.25 keV   5.087E+01  1.135E+02     181 A        66 A        48 A   
   3.50 keV   5.279E+01  1.124E+02     194 A        70 A        51 A   
   3.75 keV   5.464E+01  1.113E+02     206 A        74 A        54 A   
   4.00 keV   5.643E+01  1.101E+02     218 A        78 A        57 A   
   4.50 keV   5.986E+01  1.079E+02     243 A        85 A        62 A   
   5.00 keV   6.309E+01  1.057E+02     267 A        92 A        68 A   
   5.50 keV   6.617E+01  1.035E+02     292 A        99 A        73 A   
   6.00 keV   6.912E+01  1.015E+02     316 A       106 A        78 A   
   6.50 keV   7.194E+01  9.947E+01     341 A       113 A        83 A   
   7.00 keV   7.465E+01  9.754E+01     365 A       120 A        88 A   
   8.00 keV   7.981E+01  9.391E+01     414 A       133 A        98 A   
   9.00 keV   8.465E+01  9.056E+01     463 A       145 A       108 A   
  10.00 keV   8.923E+01  8.747E+01     512 A       157 A       118 A   
  11.00 keV   9.358E+01  8.461E+01     560 A       168 A       127 A   
  12.00 keV   9.775E+01  8.196E+01     609 A       180 A       136 A   
  13.00 keV   1.017E+02  7.950E+01     657 A       190 A       145 A   
  14.00 keV   1.056E+02  7.721E+01     705 A       201 A       154 A   
  15.00 keV   1.093E+02  7.507E+01     753 A       211 A       163 A   
  16.00 keV   1.129E+02  7.306E+01     800 A       221 A       172 A   
  17.00 keV   1.163E+02  7.118E+01     848 A       230 A       181 A   
  18.00 keV   1.197E+02  6.941E+01     895 A       239 A       189 A   
  20.00 keV   1.262E+02  6.617E+01     988 A       257 A       206 A   
  22.50 keV   1.338E+02  6.259E+01    1104 A       278 A       225 A   
  25.00 keV   1.406E+02  5.945E+01    1217 A       297 A       245 A   
  27.50 keV   1.462E+02  5.665E+01    1330 A       315 A       263 A   
  30.00 keV   1.514E+02  5.415E+01    1441 A       332 A       281 A   
  32.50 keV   1.562E+02  5.190E+01    1552 A       348 A       298 A   
  35.00 keV   1.608E+02  4.985E+01    1662 A       364 A       315 A   
  37.50 keV   1.651E+02  4.799E+01    1770 A       379 A       331 A   
  40.00 keV   1.692E+02  4.629E+01    1878 A       393 A       347 A   
  45.00 keV   1.768E+02  4.327E+01    2091 A       420 A       377 A   
  50.00 keV   1.839E+02  4.067E+01    2301 A       445 A       406 A   
  55.00 keV   1.905E+02  3.841E+01    2508 A       468 A       433 A   
  60.00 keV   1.968E+02  3.643E+01    2712 A       490 A       459 A   
  65.00 keV   2.027E+02  3.467E+01    2912 A       510 A       484 A   
  70.00 keV   2.083E+02  3.309E+01    3110 A       529 A       508 A   
  80.00 keV   2.189E+02  3.039E+01    3498 A       565 A       553 A   
  90.00 keV   2.286E+02  2.814E+01    3875 A       597 A       595 A   
 100.00 keV   2.377E+02  2.625E+01    4244 A       626 A       634 A   
 110.00 keV   2.461E+02  2.462E+01    4603 A       652 A       670 A   
 120.00 keV   2.539E+02  2.321E+01    4955 A       676 A       705 A   
 130.00 keV   2.613E+02  2.197E+01    5300 A       699 A       737 A   
 140.00 keV   2.682E+02  2.087E+01    5639 A       719 A       768 A   
 150.00 keV   2.748E+02  1.989E+01    5971 A       739 A       797 A   
 160.00 keV   2.811E+02  1.900E+01    6298 A       757 A       824 A   
 170.00 keV   2.872E+02  1.820E+01    6620 A       774 A       851 A   
 180.00 keV   2.931E+02  1.748E+01    6936 A       790 A       876 A   
 200.00 keV   3.044E+02  1.620E+01    7555 A       822 A       923 A   
 225.00 keV   3.182E+02  1.487E+01    8304 A       859 A       978 A   
 250.00 keV   3.316E+02  1.377E+01    9026 A       891 A      1027 A   
 275.00 keV   3.447E+02  1.283E+01    9725 A       920 A      1072 A   
 300.00 keV   3.574E+02  1.202E+01    1.04 um      946 A      1114 A   
 325.00 keV   3.699E+02  1.132E+01    1.11 um      970 A      1153 A   
 350.00 keV   3.820E+02  1.070E+01    1.17 um      991 A      1189 A   
 375.00 keV   3.937E+02  1.016E+01    1.23 um     1011 A      1222 A   
 400.00 keV   4.052E+02  9.669E+00    1.29 um     1029 A      1253 A   
 450.00 keV   4.272E+02  8.833E+00    1.41 um     1068 A      1311 A   
 500.00 keV   4.481E+02  8.142E+00    1.52 um     1101 A      1362 A   
 550.00 keV   4.682E+02  7.560E+00    1.63 um     1130 A      1407 A   
 600.00 keV   4.874E+02  7.062E+00    1.73 um     1157 A      1449 A   
 650.00 keV   5.060E+02  6.631E+00    1.83 um     1180 A      1487 A   
 700.00 keV   5.240E+02  6.254E+00    1.92 um     1201 A      1522 A   
 800.00 keV   5.583E+02  5.625E+00    2.10 um     1251 A      1584 A   
 900.00 keV   5.908E+02  5.119E+00    2.27 um     1294 A      1637 A   
   1.00 MeV   6.217E+02  4.704E+00    2.44 um     1330 A      1685 A   
   1.10 MeV   6.510E+02  4.355E+00    2.59 um     1362 A      1726 A   
   1.20 MeV   6.789E+02  4.058E+00    2.74 um     1390 A      1764 A   
   1.30 MeV   7.052E+02  3.802E+00    2.88 um     1416 A      1798 A   
   1.40 MeV   7.300E+02  3.579E+00    3.02 um     1439 A      1829 A   
   1.50 MeV   7.534E+02  3.383E+00    3.16 um     1460 A      1857 A   
   1.60 MeV   7.752E+02  3.208E+00    3.29 um     1479 A      1883 A   
   1.70 MeV   7.956E+02  3.052E+00    3.41 um     1497 A      1908 A   
   1.80 MeV   8.145E+02  2.911E+00    3.54 um     1514 A      1931 A   
   2.00 MeV   8.483E+02  2.668E+00    3.78 um     1563 A      1972 A   
   2.25 MeV   8.833E+02  2.420E+00    4.06 um     1627 A      2018 A   
   2.50 MeV   9.113E+02  2.216E+00    4.34 um     1684 A      2058 A   
   2.75 MeV   9.333E+02  2.046E+00    4.61 um     1736 A      2095 A   
   3.00 MeV   9.503E+02  1.902E+00    4.87 um     1784 A      2128 A   
   3.25 MeV   9.633E+02  1.778E+00    5.14 um     1829 A      2160 A   
   3.50 MeV   9.729E+02  1.671E+00    5.39 um     1872 A      2189 A   
   3.75 MeV   9.798E+02  1.576E+00    5.65 um     1913 A      2216 A   
   4.00 MeV   9.843E+02  1.492E+00    5.90 um     1953 A      2242 A   
   4.50 MeV   9.881E+02  1.350E+00    6.41 um     2090 A      2291 A   
   5.00 MeV   9.865E+02  1.234E+00    6.91 um     2219 A      2337 A   
   5.50 MeV   9.810E+02  1.138E+00    7.42 um     2341 A      2380 A   
   6.00 MeV   9.727E+02  1.056E+00    7.93 um     2458 A      2421 A   
   6.50 MeV   9.624E+02  9.862E-01    8.45 um     2572 A      2461 A   
   7.00 MeV   9.504E+02  9.254E-01    8.97 um     2683 A      2500 A   
   8.00 MeV   9.236E+02  8.249E-01   10.04 um     3091 A      2576 A   
   9.00 MeV   8.946E+02  7.451E-01   11.13 um     3471 A      2650 A   
  10.00 MeV   8.649E+02  6.802E-01   12.27 um     3836 A      2724 A   
  11.00 MeV   8.354E+02  6.262E-01   13.45 um     4191 A      2798 A   
  12.00 MeV   8.067E+02  5.806E-01   14.66 um     4541 A      2873 A   
  13.00 MeV   7.790E+02  5.415E-01   15.92 um     4889 A      2950 A   
  14.00 MeV   7.525E+02  5.076E-01   17.23 um     5236 A      3029 A   
  15.00 MeV   7.273E+02  4.780E-01   18.58 um     5584 A      3109 A   
  16.00 MeV   7.034E+02  4.518E-01   19.98 um     5933 A      3192 A   
  17.00 MeV   6.808E+02  4.284E-01   21.42 um     6285 A      3277 A   
  18.00 MeV   6.594E+02  4.075E-01   22.91 um     6641 A      3365 A   
  20.00 MeV   6.199E+02  3.715E-01   26.04 um     7998 A      3549 A   
  22.50 MeV   5.764E+02  3.350E-01   30.22 um     9969 A      3796 A   
  25.00 MeV   5.434E+02  3.053E-01   34.69 um     1.18 um     4062 A   
  27.50 MeV   5.178E+02  2.807E-01   39.40 um     1.36 um     4344 A   
  30.00 MeV   4.896E+02  2.599E-01   44.36 um     1.53 um     4643 A   
  32.50 MeV   4.626E+02  2.421E-01   49.61 um     1.70 um     4961 A   
  35.00 MeV   4.387E+02  2.268E-01   55.16 um     1.88 um     5298 A   
  37.50 MeV   4.173E+02  2.133E-01   61.00 um     2.06 um     5655 A   
  40.00 MeV   3.981E+02  2.014E-01   67.13 um     2.23 um     6030 A   
  45.00 MeV   3.650E+02  1.814E-01   80.25 um     2.91 um     6839 A   
  50.00 MeV   3.374E+02  1.652E-01   94.49 um     3.54 um     7722 A   
  55.00 MeV   3.140E+02  1.517E-01  109.85 um     4.16 um     8678 A   
  60.00 MeV   2.938E+02  1.404E-01  126.31 um     4.77 um     9705 A   
  65.00 MeV   2.763E+02  1.307E-01  143.85 um     5.38 um     1.08 um  
  70.00 MeV   2.608E+02  1.223E-01  162.48 um     6.00 um     1.20 um  
  80.00 MeV   2.348E+02  1.085E-01  202.88 um     8.30 um     1.45 um  
  90.00 MeV   2.137E+02  9.766E-02  247.52 um    10.44 um     1.73 um  
 100.00 MeV   1.962E+02  8.884E-02  296.35 um    12.53 um     2.03 um  
 110.00 MeV   1.814E+02  8.155E-02  349.35 um    14.61 um     2.36 um  
 120.00 MeV   1.687E+02  7.541E-02  406.49 um    16.71 um     2.72 um  
 130.00 MeV   1.578E+02  7.016E-02  467.78 um    18.84 um     3.10 um  
 140.00 MeV   1.481E+02  6.563E-02  533.18 um    21.01 um     3.50 um  
 150.00 MeV   1.397E+02  6.167E-02  602.70 um    23.21 um     3.93 um  
 160.00 MeV   1.321E+02  5.817E-02  676.31 um    25.46 um     4.39 um  
 170.00 MeV   1.254E+02  5.507E-02  754.00 um    27.75 um     4.86 um  
 180.00 MeV   1.193E+02  5.230E-02  835.75 um    30.08 um     5.37 um  
 200.00 MeV   1.089E+02  4.754E-02    1.01 mm    39.05 um     6.45 um  
 225.00 MeV   9.831E+01  4.273E-02    1.25 mm    51.95 um     7.93 um  
 250.00 MeV   8.981E+01  3.884E-02    1.52 mm    64.21 um     9.56 um  
 275.00 MeV   8.286E+01  3.562E-02    1.81 mm    76.24 um    11.34 um  
 300.00 MeV   7.711E+01  3.291E-02    2.12 mm    88.21 um    13.25 um  
 325.00 MeV   7.229E+01  3.060E-02    2.46 mm   100.19 um    15.30 um  
 350.00 MeV   6.822E+01  2.861E-02    2.81 mm   112.20 um    17.47 um  
 375.00 MeV   6.455E+01  2.687E-02    3.19 mm   124.29 um    19.76 um  
 400.00 MeV   6.120E+01  2.533E-02    3.59 mm   136.52 um    22.18 um  
 450.00 MeV   5.555E+01  2.275E-02    4.44 mm   182.80 um    27.37 um  
 500.00 MeV   5.095E+01  2.067E-02    5.38 mm   226.21 um    33.03 um  
 550.00 MeV   4.714E+01  1.894E-02    6.40 mm   268.50 um    39.16 um  
 600.00 MeV   4.393E+01  1.750E-02    7.50 mm   310.43 um    45.73 um  
 650.00 MeV   4.118E+01  1.626E-02    8.68 mm   352.37 um    52.74 um  
 700.00 MeV   3.880E+01  1.519E-02    9.93 mm   394.52 um    60.17 um  
 800.00 MeV   3.489E+01  1.345E-02   12.65 mm   551.37 um    76.26 um  
 900.00 MeV   3.180E+01  1.207E-02   15.65 mm   696.48 um    93.93 um  
   1.00 GeV   2.929E+01  1.096E-02   18.93 mm   837.13 um   113.09 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  2.0382E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
