 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 21, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Polyethylene.txt

 Ion = Krypton [36] , Mass = 82.914 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.338E+01  3.539E+02      67 A        15 A        11 A   
   1.50 keV   3.456E+01  3.641E+02      69 A        16 A        12 A   
   1.60 keV   3.569E+01  3.737E+02      72 A        16 A        12 A   
   1.70 keV   3.679E+01  3.828E+02      74 A        17 A        12 A   
   1.80 keV   3.785E+01  3.916E+02      76 A        17 A        13 A   
   2.00 keV   3.990E+01  4.079E+02      80 A        18 A        13 A   
   2.25 keV   4.232E+01  4.265E+02      85 A        19 A        14 A   
   2.50 keV   4.461E+01  4.435E+02      90 A        20 A        15 A   
   2.75 keV   4.679E+01  4.590E+02      95 A        21 A        15 A   
   3.00 keV   4.887E+01  4.734E+02      99 A        22 A        16 A   
   3.25 keV   5.086E+01  4.867E+02     103 A        22 A        17 A   
   3.50 keV   5.278E+01  4.991E+02     108 A        23 A        17 A   
   3.75 keV   5.464E+01  5.107E+02     112 A        24 A        18 A   
   4.00 keV   5.643E+01  5.216E+02     116 A        25 A        19 A   
   4.50 keV   5.985E+01  5.416E+02     123 A        26 A        20 A   
   5.00 keV   6.309E+01  5.595E+02     131 A        27 A        21 A   
   5.50 keV   6.617E+01  5.758E+02     138 A        29 A        22 A   
   6.00 keV   6.911E+01  5.905E+02     145 A        30 A        23 A   
   6.50 keV   7.193E+01  6.040E+02     152 A        31 A        24 A   
   7.00 keV   7.465E+01  6.165E+02     159 A        32 A        25 A   
   8.00 keV   7.980E+01  6.387E+02     172 A        34 A        27 A   
   9.00 keV   8.464E+01  6.580E+02     185 A        36 A        29 A   
  10.00 keV   8.922E+01  6.749E+02     197 A        38 A        31 A   
  11.00 keV   9.358E+01  6.899E+02     209 A        40 A        32 A   
  12.00 keV   9.774E+01  7.033E+02     221 A        42 A        34 A   
  13.00 keV   1.017E+02  7.153E+02     233 A        44 A        36 A   
