 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  13.00 MeV   2.722E+03  8.565E+01    8.09 um     3488 A      4063 A   
  14.00 MeV   2.882E+03  8.098E+01    8.44 um     3547 A      4140 A   
  15.00 MeV   3.035E+03  7.684E+01    8.77 um     3600 A      4209 A   
  16.00 MeV   3.180E+03  7.314E+01    9.08 um     3646 A      4271 A   
  17.00 MeV   3.318E+03  6.982E+01    9.38 um     3689 A      4327 A   
  18.00 MeV   3.449E+03  6.681E+01    9.67 um     3727 A      4379 A   
  20.00 MeV   3.690E+03  6.157E+01   10.22 um     3834 A      4470 A   
  22.50 MeV   3.956E+03  5.617E+01   10.86 um     3967 A      4567 A   
  25.00 MeV   4.190E+03  5.171E+01   11.47 um     4081 A      4649 A   
  27.50 MeV   4.397E+03  4.796E+01   12.04 um     4180 A      4720 A   
  30.00 MeV   4.583E+03  4.476E+01   12.59 um     4268 A      4783 A   
  32.50 MeV   4.751E+03  4.199E+01   13.12 um     4347 A      4840 A   
  35.00 MeV   4.903E+03  3.958E+01   13.63 um     4420 A      4891 A   
  37.50 MeV   5.043E+03  3.744E+01   14.13 um     4487 A      4937 A   
  40.00 MeV   5.171E+03  3.555E+01   14.62 um     4549 A      4980 A   
  45.00 MeV   5.400E+03  3.232E+01   15.56 um     4756 A      5056 A   
  50.00 MeV   5.597E+03  2.966E+01   16.46 um     4939 A      5123 A   
  55.00 MeV   5.767E+03  2.744E+01   17.34 um     5104 A      5182 A   
  60.00 MeV   5.914E+03  2.556E+01   18.19 um     5254 A      5235 A   
  65.00 MeV   6.042E+03  2.393E+01   19.02 um     5394 A      5284 A   
  70.00 MeV   6.152E+03  2.251E+01   19.84 um     5525 A      5330 A   
  80.00 MeV   6.330E+03  2.015E+01   21.43 um     5982 A      5411 A   
  90.00 MeV   6.462E+03  1.827E+01   22.99 um     6386 A      5483 A   
 100.00 MeV   6.558E+03  1.674E+01   24.52 um     6753 A      5548 A   
 110.00 MeV   6.625E+03  1.545E+01   26.04 um     7093 A      5608 A   
 120.00 MeV   6.669E+03  1.436E+01   27.54 um     7411 A      5664 A   
 130.00 MeV   6.696E+03  1.343E+01   29.03 um     7713 A      5717 A   
 140.00 MeV   6.708E+03  1.261E+01   30.52 um     8002 A      5768 A   
 150.00 MeV   6.709E+03  1.190E+01   32.01 um     8280 A      5816 A   
 160.00 MeV   6.700E+03  1.127E+01   33.49 um     8549 A      5862 A   
 170.00 MeV   6.684E+03  1.070E+01   34.99 um     8811 A      5907 A   
 180.00 MeV   6.661E+03  1.019E+01   36.48 um     9066 A      5951 A   
 200.00 MeV   6.680E+03  9.318E+00   39.48 um     1.00 um     6035 A   
 225.00 MeV   6.702E+03  8.426E+00   43.21 um     1.13 um     6134 A   
 250.00 MeV   6.602E+03  7.699E+00   46.96 um     1.25 um     6229 A   
 275.00 MeV   6.495E+03  7.094E+00   50.77 um     1.36 um     6322 A   
 300.00 MeV   6.389E+03  6.582E+00   54.65 um     1.47 um     6413 A   
 325.00 MeV   6.284E+03  6.143E+00   58.59 um     1.57 um     6504 A   
 350.00 MeV   6.181E+03  5.762E+00   62.60 um     1.67 um     6594 A   
 375.00 MeV   6.080E+03  5.428E+00   66.68 um     1.77 um     6684 A   
 400.00 MeV   5.981E+03  5.133E+00   70.82 um     1.86 um     6774 A   
 450.00 MeV   5.792E+03  4.634E+00   79.31 um     2.22 um     6955 A   
 500.00 MeV   5.612E+03  4.228E+00   88.07 um     2.54 um     7139 A   
 550.00 MeV   5.441E+03  3.891E+00   97.12 um     2.85 um     7327 A   
 600.00 MeV   5.279E+03  3.606E+00  106.44 um     3.14 um     7519 A   
 650.00 MeV   5.125E+03  3.362E+00  116.05 um     3.42 um     7717 A   
 700.00 MeV   4.978E+03  3.151E+00  125.94 um     3.70 um     7919 A   
 800.00 MeV   4.706E+03  2.803E+00  146.60 um     4.71 um     8342 A   
 900.00 MeV   4.459E+03  2.527E+00  168.42 um     5.63 um     8790 A   
   1.00 GeV   4.235E+03  2.303E+00  191.43 um     6.51 um     9264 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  3.8139E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
