 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.990E+01  3.437E+02      73 A        16 A        12 A   
   1.50 keV   2.059E+01  3.539E+02      76 A        17 A        12 A   
   1.60 keV   2.127E+01  3.635E+02      78 A        17 A        12 A   
   1.70 keV   2.192E+01  3.727E+02      81 A        18 A        13 A   
   1.80 keV   2.256E+01  3.814E+02      83 A        18 A        13 A   
   2.00 keV   2.378E+01  3.978E+02      87 A        19 A        14 A   
   2.25 keV   2.522E+01  4.166E+02      93 A        20 A        15 A   
   2.50 keV   2.659E+01  4.338E+02      98 A        21 A        15 A   
   2.75 keV   2.788E+01  4.495E+02     103 A        22 A        16 A   
   3.00 keV   2.912E+01  4.641E+02     107 A        23 A        17 A   
   3.25 keV   3.031E+01  4.777E+02     112 A        24 A        17 A   
   3.50 keV   3.146E+01  4.903E+02     117 A        24 A        18 A   
   3.75 keV   3.256E+01  5.022E+02     121 A        25 A        19 A   
   4.00 keV   3.363E+01  5.134E+02     125 A        26 A        19 A   
   4.50 keV   3.567E+01  5.340E+02     133 A        27 A        21 A   
   5.00 keV   3.760E+01  5.525E+02     141 A        29 A        22 A   
   5.50 keV   3.944E+01  5.693E+02     149 A        30 A        23 A   
   6.00 keV   4.119E+01  5.846E+02     157 A        31 A        24 A   
   6.50 keV   4.287E+01  5.987E+02     164 A        32 A        25 A   
   7.00 keV   4.449E+01  6.118E+02     171 A        34 A        26 A   
   8.00 keV   4.756E+01  6.351E+02     185 A        36 A        28 A   
   9.00 keV   5.045E+01  6.555E+02     199 A        38 A        30 A   
  10.00 keV   5.317E+01  6.735E+02     212 A        40 A        32 A   
  11.00 keV   5.577E+01  6.895E+02     224 A        42 A        33 A   
  12.00 keV   5.825E+01  7.039E+02     237 A        44 A        35 A   
  13.00 keV   6.063E+01  7.169E+02     249 A        46 A        37 A   
  14.00 keV   6.292E+01  7.287E+02     261 A        48 A        38 A   
  15.00 keV   6.513E+01  7.394E+02     273 A        49 A        40 A   
  16.00 keV   6.726E+01  7.493E+02     284 A        51 A        41 A   
  17.00 keV   6.933E+01  7.583E+02     296 A        53 A        43 A   
  18.00 keV   7.134E+01  7.666E+02     307 A        54 A        44 A   
  20.00 keV   7.520E+01  7.815E+02     329 A        58 A        47 A   
  22.50 keV   7.976E+01  7.971E+02     356 A        62 A        51 A   
  25.00 keV   8.408E+01  8.103E+02     383 A        65 A        54 A   
  27.50 keV   8.818E+01  8.214E+02     409 A        69 A        58 A   
  30.00 keV   9.210E+01  8.308E+02     435 A        73 A        61 A   
  32.50 keV   9.586E+01  8.388E+02     460 A        76 A        64 A   
  35.00 keV   9.948E+01  8.457E+02     485 A        80 A        67 A   
  37.50 keV   1.030E+02  8.515E+02     510 A        83 A        71 A   
  40.00 keV   1.063E+02  8.565E+02     535 A        87 A        74 A   
  45.00 keV   1.128E+02  8.644E+02     584 A        93 A        80 A   
  50.00 keV   1.189E+02  8.700E+02     632 A       100 A        85 A   
  55.00 keV   1.247E+02  8.739E+02     680 A       106 A        91 A   
  60.00 keV   1.303E+02  8.763E+02     727 A       112 A        97 A   
  65.00 keV   1.356E+02  8.777E+02     774 A       118 A       102 A   
  70.00 keV   1.407E+02  8.781E+02     821 A       124 A       108 A   
  80.00 keV   1.504E+02  8.768E+02     914 A       137 A       119 A   
  90.00 keV   1.595E+02  8.735E+02    1007 A       148 A       129 A   
 100.00 keV   1.682E+02  8.687E+02    1099 A       160 A       140 A   
 110.00 keV   1.764E+02  8.629E+02    1191 A       171 A       150 A   
 120.00 keV   1.842E+02  8.563E+02    1284 A       182 A       160 A   
 130.00 keV   1.917E+02  8.493E+02    1376 A       193 A       170 A   
 140.00 keV   1.990E+02  8.419E+02    1468 A       204 A       180 A   
 150.00 keV   2.059E+02  8.343E+02    1560 A       215 A       190 A   
 160.00 keV   2.127E+02  8.266E+02    1652 A       226 A       200 A   
 170.00 keV   2.192E+02  8.188E+02    1745 A       236 A       210 A   
 180.00 keV   2.256E+02  8.109E+02    1838 A       247 A       219 A   
 200.00 keV   2.535E+02  7.953E+02    2022 A       268 A       238 A   
 225.00 keV   2.874E+02  7.762E+02    2250 A       293 A       262 A   
 250.00 keV   3.056E+02  7.576E+02    2477 A       318 A       285 A   
 275.00 keV   3.161E+02  7.398E+02    2705 A       342 A       307 A   
 300.00 keV   3.233E+02  7.227E+02    2935 A       365 A       330 A   
 325.00 keV   3.292E+02  7.064E+02    3168 A       389 A       352 A   
 350.00 keV   3.350E+02  6.909E+02    3403 A       412 A       375 A   
 375.00 keV   3.412E+02  6.760E+02    3640 A       435 A       397 A   
 400.00 keV   3.481E+02  6.619E+02    3879 A       457 A       419 A   
 450.00 keV   3.642E+02  6.355E+02    4363 A       504 A       463 A   
 500.00 keV   3.830E+02  6.114E+02    4850 A       549 A       507 A   
 550.00 keV   4.036E+02  5.893E+02    5340 A       593 A       551 A   
 600.00 keV   4.254E+02  5.690E+02    5830 A       636 A       594 A   
 650.00 keV   4.478E+02  5.503E+02    6319 A       676 A       637 A   
 700.00 keV   4.701E+02  5.330E+02    6807 A       716 A       679 A   
 800.00 keV   5.136E+02  5.019E+02    7775 A       796 A       760 A   
 900.00 keV   5.540E+02  4.749E+02    8732 A       870 A       839 A   
   1.00 MeV   5.907E+02  4.510E+02    9677 A       939 A       915 A   
   1.10 MeV   6.235E+02  4.298E+02    1.06 um     1003 A       988 A   
