 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 95.905 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.240E-01  8.014E+00       2 A         1 A         1 A   
    1.2 eV    8.240E-01  8.519E+00       2 A         1 A         1 A   
    1.3 eV    8.577E-01  9.011E+00       2 A         1 A         1 A   
    1.4 eV    8.900E-01  9.491E+00       2 A         1 A         1 A   
    1.5 eV    9.213E-01  9.960E+00       2 A         1 A         1 A   
    1.6 eV    9.515E-01  1.042E+01       2 A         1 A         1 A   
    1.7 eV    9.808E-01  1.087E+01       2 A         1 A         1 A   
    1.8 eV    1.009E+00  1.131E+01       3 A         1 A         1 A   
      2 eV    1.064E+00  1.217E+01       3 A         1 A         1 A   
   2.25 eV    1.128E+00  1.320E+01       3 A         1 A         1 A   
2.49999 eV    1.189E+00  1.419E+01       3 A         1 A         1 A   
2.74999 eV    1.247E+00  1.515E+01       3 A         1 A         1 A   
2.99999 eV    1.303E+00  1.608E+01       3 A         1 A         1 A   
3.24999 eV    1.356E+00  1.699E+01       3 A         1 A         1 A   
3.49999 eV    1.407E+00  1.787E+01       3 A         1 A         1 A   
3.74999 eV    1.457E+00  1.873E+01       3 A         1 A         1 A   
3.99999 eV    1.504E+00  1.956E+01       4 A         1 A         1 A   
4.49999 eV    1.596E+00  2.119E+01       4 A         1 A         1 A   
4.99999 eV    1.682E+00  2.275E+01       4 A         1 A         1 A   
5.49999 eV    1.764E+00  2.425E+01       4 A         1 A         1 A   
