 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in Aluminum.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.829E+01  6.062E+02      36 A        14 A        10 A   
   1.50 keV   2.929E+01  6.252E+02      37 A        15 A        11 A   
   1.60 keV   3.025E+01  6.434E+02      39 A        15 A        11 A   
   1.70 keV   3.118E+01  6.608E+02      40 A        16 A        11 A   
   1.80 keV   3.208E+01  6.774E+02      41 A        16 A        12 A   
   2.00 keV   3.382E+01  7.088E+02      43 A        17 A        12 A   
   2.25 keV   3.587E+01  7.448E+02      46 A        18 A        13 A   
   2.50 keV   3.781E+01  7.780E+02      48 A        18 A        13 A   
   2.75 keV   3.965E+01  8.086E+02      50 A        19 A        14 A   
   3.00 keV   4.142E+01  8.372E+02      53 A        20 A        15 A   
   3.25 keV   4.311E+01  8.639E+02      55 A        21 A        15 A   
   3.50 keV   4.474E+01  8.889E+02      57 A        21 A        16 A   
   3.75 keV   4.631E+01  9.125E+02      59 A        22 A        16 A   
   4.00 keV   4.782E+01  9.349E+02      61 A        23 A        17 A   
   4.50 keV   5.072E+01  9.762E+02      65 A        24 A        18 A   
   5.00 keV   5.347E+01  1.014E+03      69 A        25 A        19 A   
   5.50 keV   5.608E+01  1.048E+03      73 A        26 A        20 A   
   6.00 keV   5.857E+01  1.080E+03      76 A        27 A        20 A   
   6.50 keV   6.096E+01  1.109E+03      80 A        28 A        21 A   
   7.00 keV   6.326E+01  1.136E+03      83 A        29 A        22 A   
   8.00 keV   6.763E+01  1.185E+03      90 A        31 A        24 A   
   9.00 keV   7.174E+01  1.229E+03      96 A        33 A        25 A   
  10.00 keV   7.562E+01  1.267E+03     103 A        35 A        27 A   
  11.00 keV   7.931E+01  1.302E+03     109 A        37 A        28 A   
  12.00 keV   8.283E+01  1.334E+03     114 A        38 A        29 A   
  13.00 keV   8.622E+01  1.363E+03     120 A        40 A        31 A   
  14.00 keV   8.947E+01  1.390E+03     126 A        42 A        32 A   
  15.00 keV   9.261E+01  1.414E+03     131 A        43 A        33 A   
  16.00 keV   9.565E+01  1.437E+03     137 A        45 A        35 A   
  17.00 keV   9.859E+01  1.458E+03     142 A        46 A        36 A   
  18.00 keV   1.014E+02  1.478E+03     148 A        48 A        37 A   
  20.00 keV   1.069E+02  1.513E+03     158 A        50 A        39 A   
  22.50 keV   1.134E+02  1.552E+03     171 A        54 A        42 A   
  25.00 keV   1.196E+02  1.585E+03     183 A        57 A        45 A   
  27.50 keV   1.254E+02  1.614E+03     195 A        60 A        47 A   
  30.00 keV   1.310E+02  1.639E+03     208 A        64 A        50 A   
  32.50 keV   1.363E+02  1.662E+03     219 A        67 A        52 A   
  35.00 keV   1.415E+02  1.681E+03     231 A        70 A        55 A   
  37.50 keV   1.464E+02  1.699E+03     243 A        73 A        57 A   
  40.00 keV   1.512E+02  1.715E+03     254 A        75 A        60 A   
