 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 94.929 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.723E+01  5.786E+02      38 A        15 A        11 A   
   1.50 keV   2.819E+01  5.964E+02      39 A        15 A        11 A   
   1.60 keV   2.911E+01  6.133E+02      40 A        16 A        11 A   
   1.70 keV   3.001E+01  6.295E+02      41 A        16 A        12 A   
   1.80 keV   3.088E+01  6.450E+02      42 A        16 A        12 A   
   2.00 keV   3.255E+01  6.741E+02      45 A        17 A        13 A   
   2.25 keV   3.452E+01  7.075E+02      47 A        18 A        13 A   
   2.50 keV   3.639E+01  7.382E+02      50 A        19 A        14 A   
   2.75 keV   3.816E+01  7.664E+02      52 A        20 A        15 A   
   3.00 keV   3.986E+01  7.927E+02      55 A        21 A        15 A   
   3.25 keV   4.149E+01  8.172E+02      57 A        21 A        16 A   
   3.50 keV   4.306E+01  8.402E+02      60 A        22 A        16 A   
   3.75 keV   4.457E+01  8.618E+02      62 A        23 A        17 A   
   4.00 keV   4.603E+01  8.822E+02      64 A        23 A        17 A   
   4.50 keV   4.882E+01  9.199E+02      68 A        25 A        18 A   
   5.00 keV   5.146E+01  9.540E+02      72 A        26 A        19 A   
   5.50 keV   5.397E+01  9.851E+02      76 A        27 A        20 A   
   6.00 keV   5.637E+01  1.014E+03      80 A        28 A        21 A   
   6.50 keV   5.867E+01  1.040E+03      84 A        29 A        22 A   
   7.00 keV   6.089E+01  1.065E+03      87 A        31 A        23 A   
   8.00 keV   6.509E+01  1.109E+03      95 A        33 A        25 A   
   9.00 keV   6.904E+01  1.148E+03     101 A        35 A        26 A   
  10.00 keV   7.278E+01  1.182E+03     108 A        36 A        28 A   
  11.00 keV   7.633E+01  1.213E+03     115 A        38 A        29 A   
  12.00 keV   7.972E+01  1.241E+03     121 A        40 A        31 A   
  13.00 keV   8.298E+01  1.267E+03     127 A        42 A        32 A   
  14.00 keV   8.611E+01  1.290E+03     133 A        43 A        34 A   
  15.00 keV   8.913E+01  1.311E+03     139 A        45 A        35 A   
  16.00 keV   9.206E+01  1.331E+03     145 A        47 A        36 A   
  17.00 keV   9.489E+01  1.349E+03     151 A        48 A        38 A   
  18.00 keV   9.764E+01  1.366E+03     157 A        50 A        39 A   
  20.00 keV   1.029E+02  1.397E+03     168 A        53 A        41 A   
  22.50 keV   1.092E+02  1.430E+03     182 A        57 A        44 A   
  25.00 keV   1.151E+02  1.458E+03     195 A        60 A        47 A   
  27.50 keV   1.207E+02  1.482E+03     209 A        64 A        50 A   
  30.00 keV   1.261E+02  1.503E+03     222 A        67 A        53 A   
  32.50 keV   1.312E+02  1.522E+03     235 A        70 A        55 A   
  35.00 keV   1.362E+02  1.538E+03     248 A        73 A        58 A   
  37.50 keV   1.409E+02  1.552E+03     260 A        77 A        61 A   
  40.00 keV   1.456E+02  1.564E+03     273 A        80 A        63 A   
  45.00 keV   1.544E+02  1.585E+03     298 A        86 A        68 A   
  50.00 keV   1.627E+02  1.601E+03     322 A        92 A        73 A   
  55.00 keV   1.707E+02  1.614E+03     347 A        98 A        78 A   
  60.00 keV   1.783E+02  1.624E+03     371 A       104 A        83 A   
  65.00 keV   1.855E+02  1.631E+03     395 A       110 A        87 A   
  70.00 keV   1.925E+02  1.637E+03     419 A       115 A        92 A   
  80.00 keV   2.058E+02  1.643E+03     466 A       127 A       101 A   
  90.00 keV   2.183E+02  1.645E+03     513 A       138 A       110 A   
 100.00 keV   2.301E+02  1.643E+03     560 A       148 A       119 A   
 110.00 keV   2.414E+02  1.639E+03     607 A       159 A       127 A   
 120.00 keV   2.521E+02  1.633E+03     654 A       170 A       135 A   
 130.00 keV   2.624E+02  1.625E+03     701 A       180 A       144 A   
 140.00 keV   2.723E+02  1.617E+03     748 A       191 A       152 A   
 150.00 keV   2.819E+02  1.607E+03     795 A       201 A       160 A   
 160.00 keV   2.911E+02  1.597E+03     842 A       211 A       168 A   
 170.00 keV   3.001E+02  1.587E+03     889 A       221 A       177 A   
 180.00 keV   3.088E+02  1.576E+03     937 A       232 A       185 A   
 200.00 keV   3.594E+02  1.553E+03    1031 A       251 A       201 A   
 225.00 keV   4.350E+02  1.524E+03    1147 A       275 A       220 A   
 250.00 keV   4.825E+02  1.496E+03    1261 A       298 A       239 A   
 275.00 keV   5.133E+02  1.467E+03    1375 A       320 A       258 A   
 300.00 keV   5.344E+02  1.439E+03    1490 A       342 A       277 A   
 325.00 keV   5.504E+02  1.412E+03    1605 A       364 A       295 A   
 350.00 keV   5.638E+02  1.386E+03    1721 A       385 A       313 A   
 375.00 keV   5.761E+02  1.361E+03    1839 A       407 A       332 A   
 400.00 keV   5.882E+02  1.337E+03    1957 A       428 A       350 A   
 450.00 keV   6.135E+02  1.290E+03    2197 A       470 A       385 A   
 500.00 keV   6.407E+02  1.248E+03    2440 A       512 A       421 A   
 550.00 keV   6.698E+02  1.208E+03    2685 A       553 A       457 A   
 600.00 keV   7.000E+02  1.171E+03    2932 A       593 A       492 A   
 650.00 keV   7.306E+02  1.136E+03    3180 A       632 A       528 A   
 700.00 keV   7.613E+02  1.104E+03    3429 A       670 A       563 A   
 800.00 keV   8.211E+02  1.045E+03    3929 A       746 A       632 A   
 900.00 keV   8.778E+02  9.937E+02    4429 A       817 A       701 A   
   1.00 MeV   9.309E+02  9.477E+02    4930 A       886 A       768 A   
   1.10 MeV   9.805E+02  9.064E+02    5429 A       951 A       835 A   
   1.20 MeV   1.027E+03  8.692E+02    5928 A      1014 A       900 A   
   1.30 MeV   1.070E+03  8.354E+02    6425 A      1074 A       963 A   
   1.40 MeV   1.111E+03  8.046E+02    6920 A      1131 A      1026 A   
   1.50 MeV   1.151E+03  7.763E+02    7414 A      1187 A      1087 A   
   1.60 MeV   1.188E+03  7.503E+02    7906 A      1240 A      1147 A   
   1.70 MeV   1.224E+03  7.262E+02    8395 A      1292 A      1206 A   
   1.80 MeV   1.259E+03  7.039E+02    8883 A      1342 A      1264 A   
   2.00 MeV   1.326E+03  6.638E+02    9850 A      1439 A      1376 A   
   2.25 MeV   1.406E+03  6.205E+02    1.10 um     1553 A      1511 A   
   2.50 MeV   1.485E+03  5.833E+02    1.22 um     1658 A      1638 A   
   2.75 MeV   1.562E+03  5.510E+02    1.34 um     1755 A      1760 A   
   3.00 MeV   1.639E+03  5.225E+02    1.45 um     1844 A      1876 A   
   3.25 MeV   1.715E+03  4.973E+02    1.56 um     1927 A      1986 A   
   3.50 MeV   1.792E+03  4.747E+02    1.67 um     2004 A      2090 A   
   3.75 MeV   1.869E+03  4.543E+02    1.77 um     2075 A      2190 A   
   4.00 MeV   1.946E+03  4.358E+02    1.88 um     2141 A      2284 A   
   4.50 MeV   2.101E+03  4.036E+02    2.08 um     2268 A      2460 A   
   5.00 MeV   2.256E+03  3.764E+02    2.27 um     2379 A      2619 A   
   5.50 MeV   2.409E+03  3.531E+02    2.45 um     2476 A      2764 A   
   6.00 MeV   2.561E+03  3.328E+02    2.62 um     2561 A      2896 A   
   6.50 MeV   2.710E+03  3.150E+02    2.79 um     2637 A      3016 A   
   7.00 MeV   2.856E+03  2.992E+02    2.94 um     2705 A      3127 A   
   8.00 MeV   3.135E+03  2.724E+02    3.24 um     2836 A      3323 A   
   9.00 MeV   3.396E+03  2.505E+02    3.52 um     2945 A      3492 A   
  10.00 MeV   3.640E+03  2.322E+02    3.79 um     3037 A      3640 A   
  11.00 MeV   3.865E+03  2.167E+02    4.03 um     3116 A      3771 A   
  12.00 MeV   4.074E+03  2.033E+02    4.27 um     3185 A      3887 A   
  13.00 MeV   4.267E+03  1.916E+02    4.50 um     3246 A      3992 A   
  14.00 MeV   4.445E+03  1.814E+02    4.72 um     3301 A      4088 A   
  15.00 MeV   4.610E+03  1.723E+02    4.93 um     3350 A      4176 A   
  16.00 MeV   4.764E+03  1.641E+02    5.13 um     3396 A      4257 A   
  17.00 MeV   4.907E+03  1.568E+02    5.33 um     3437 A      4332 A   
  18.00 MeV   5.041E+03  1.501E+02    5.52 um     3476 A      4402 A   
  20.00 MeV   5.285E+03  1.385E+02    5.90 um     3565 A      4529 A   
  22.50 MeV   5.554E+03  1.265E+02    6.35 um     3673 A      4669 A   
  25.00 MeV   5.792E+03  1.166E+02    6.78 um     3767 A      4793 A   
  27.50 MeV   6.008E+03  1.083E+02    7.19 um     3851 A      4903 A   
  30.00 MeV   6.206E+03  1.011E+02    7.59 um     3927 A      5003 A   
  32.50 MeV   6.391E+03  9.497E+01    7.98 um     3996 A      5094 A   
  35.00 MeV   6.565E+03  8.956E+01    8.36 um     4060 A      5178 A   
  37.50 MeV   6.730E+03  8.479E+01    8.73 um     4119 A      5256 A   
  40.00 MeV   6.888E+03  8.054E+01    9.09 um     4174 A      5329 A   
  45.00 MeV   7.186E+03  7.330E+01    9.79 um     4331 A      5460 A   
  50.00 MeV   7.466E+03  6.734E+01   10.47 um     4469 A      5577 A   
  55.00 MeV   7.731E+03  6.235E+01   11.12 um     4594 A      5681 A   
  60.00 MeV   7.983E+03  5.810E+01   11.75 um     4706 A      5776 A   
  65.00 MeV   8.223E+03  5.443E+01   12.36 um     4809 A      5863 A   
  70.00 MeV   8.452E+03  5.124E+01   12.95 um     4903 A      5943 A   
  80.00 MeV   8.877E+03  4.592E+01   14.10 um     5200 A      6087 A   
  90.00 MeV   9.263E+03  4.167E+01   15.20 um     5456 A      6212 A   
