 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Polyethylene.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 2.51%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.867E+01  2.030E+01     248 A       123 A        93 A   
   1.50 keV   1.933E+01  1.985E+01     265 A       130 A        99 A   
   1.60 keV   1.996E+01  1.942E+01     283 A       138 A       104 A   
   1.70 keV   2.057E+01  1.902E+01     301 A       145 A       110 A   
   1.80 keV   2.117E+01  1.863E+01     319 A       151 A       116 A   
   2.00 keV   2.231E+01  1.792E+01     354 A       165 A       127 A   
   2.25 keV   2.367E+01  1.711E+01     399 A       181 A       141 A   
   2.50 keV   2.495E+01  1.639E+01     443 A       197 A       154 A   
   2.75 keV   2.617E+01  1.574E+01     488 A       212 A       167 A   
   3.00 keV   2.733E+01  1.514E+01     532 A       226 A       180 A   
   3.25 keV   2.845E+01  1.460E+01     576 A       240 A       193 A   
   3.50 keV   2.952E+01  1.411E+01     620 A       253 A       205 A   
   3.75 keV   3.056E+01  1.365E+01     664 A       266 A       217 A   
   4.00 keV   3.156E+01  1.323E+01     708 A       279 A       229 A   
   4.50 keV   3.347E+01  1.247E+01     794 A       302 A       252 A   
   5.00 keV   3.528E+01  1.181E+01     880 A       324 A       274 A   
   5.50 keV   3.701E+01  1.122E+01     964 A       345 A       295 A   
   6.00 keV   3.865E+01  1.071E+01    1047 A       365 A       315 A   
   6.50 keV   4.023E+01  1.024E+01    1130 A       383 A       335 A   
   7.00 keV   4.175E+01  9.822E+00    1211 A       401 A       353 A   
   8.00 keV   4.463E+01  9.092E+00    1370 A       433 A       389 A   
   9.00 keV   4.738E+01  8.479E+00    1525 A       462 A       422 A   
  10.00 keV   4.999E+01  7.955E+00    1676 A       488 A       453 A   
  11.00 keV   5.248E+01  7.501E+00    1824 A       512 A       482 A   
  12.00 keV   5.486E+01  7.102E+00    1968 A       535 A       509 A   
  13.00 keV   5.716E+01  6.750E+00    2108 A       555 A       535 A   
  14.00 keV   5.937E+01  6.436E+00    2245 A       574 A       559 A   
  15.00 keV   6.151E+01  6.153E+00    2379 A       591 A       582 A   
  16.00 keV   6.358E+01  5.898E+00    2511 A       607 A       603 A   
  17.00 keV   6.558E+01  5.666E+00    2639 A       623 A       624 A   
  18.00 keV   6.753E+01  5.453E+00    2766 A       637 A       644 A   
  20.00 keV   7.127E+01  5.079E+00    3011 A       663 A       681 A   
  22.50 keV   7.567E+01  4.685E+00    3305 A       692 A       722 A   
  25.00 keV   7.980E+01  4.355E+00    3588 A       718 A       760 A   
  27.50 keV   8.370E+01  4.073E+00    3860 A       741 A       794 A   
  30.00 keV   8.737E+01  3.829E+00    4123 A       761 A       826 A   
  32.50 keV   9.084E+01  3.616E+00    4378 A       779 A       855 A   
  35.00 keV   9.412E+01  3.428E+00    4625 A       796 A       882 A   
  37.50 keV   9.722E+01  3.261E+00    4865 A       811 A       907 A   
  40.00 keV   1.002E+02  3.111E+00    5100 A       825 A       931 A   
  45.00 keV   1.056E+02  2.853E+00    5553 A       851 A       974 A   
  50.00 keV   1.106E+02  2.638E+00    5987 A       874 A      1013 A   
  55.00 keV   1.153E+02  2.456E+00    6406 A       894 A      1048 A   
  60.00 keV   1.196E+02  2.300E+00    6810 A       912 A      1080 A   
  65.00 keV   1.238E+02  2.165E+00    7202 A       928 A      1109 A   
  70.00 keV   1.278E+02  2.046E+00    7583 A       943 A      1136 A   
  80.00 keV   1.355E+02  1.846E+00    8315 A       971 A      1185 A   
  90.00 keV   1.429E+02  1.685E+00    9010 A       995 A      1228 A   
 100.00 keV   1.499E+02  1.552E+00    9673 A      1016 A      1266 A   
 110.00 keV   1.566E+02  1.441E+00    1.03 um     1035 A      1300 A   
 120.00 keV   1.630E+02  1.345E+00    1.09 um     1051 A      1331 A   
 130.00 keV   1.691E+02  1.262E+00    1.15 um     1066 A      1359 A   
 140.00 keV   1.749E+02  1.190E+00    1.21 um     1079 A      1384 A   
 150.00 keV   1.804E+02  1.126E+00    1.26 um     1091 A      1408 A   
 160.00 keV   1.857E+02  1.070E+00    1.32 um     1102 A      1430 A   
 170.00 keV   1.907E+02  1.019E+00    1.37 um     1112 A      1451 A   
 180.00 keV   1.954E+02  9.729E-01    1.42 um     1122 A      1470 A   
 200.00 keV   2.041E+02  8.934E-01    1.52 um     1143 A      1505 A   
 225.00 keV   2.139E+02  8.119E-01    1.64 um     1169 A      1543 A   
 250.00 keV   2.224E+02  7.450E-01    1.75 um     1191 A      1578 A   
 275.00 keV   2.298E+02  6.890E-01    1.86 um     1212 A      1609 A   
 300.00 keV   2.362E+02  6.414E-01    1.97 um     1230 A      1637 A   
 325.00 keV   2.417E+02  6.004E-01    2.07 um     1247 A      1662 A   
 350.00 keV   2.464E+02  5.646E-01    2.17 um     1263 A      1686 A   
 375.00 keV   2.503E+02  5.332E-01    2.27 um     1278 A      1709 A   
 400.00 keV   2.535E+02  5.054E-01    2.37 um     1292 A      1730 A   
 450.00 keV   2.582E+02  4.581E-01    2.57 um     1332 A      1769 A   
 500.00 keV   2.609E+02  4.194E-01    2.76 um     1370 A      1804 A   
 550.00 keV   2.619E+02  3.871E-01    2.95 um     1406 A      1838 A   
 600.00 keV   2.616E+02  3.597E-01    3.14 um     1440 A      1869 A   
 650.00 keV   2.602E+02  3.362E-01    3.33 um     1474 A      1899 A   
 700.00 keV   2.581E+02  3.158E-01    3.52 um     1507 A      1928 A   
 800.00 keV   2.522E+02  2.819E-01    3.91 um     1619 A      1984 A   
 900.00 keV   2.450E+02  2.550E-01    4.31 um     1730 A      2038 A   
   1.00 MeV   2.373E+02  2.331E-01    4.73 um     1839 A      2091 A   
   1.10 MeV   2.294E+02  2.148E-01    5.16 um     1949 A      2144 A   
   1.20 MeV   2.218E+02  1.994E-01    5.60 um     2059 A      2198 A   
   1.30 MeV   2.143E+02  1.861E-01    6.06 um     2171 A      2252 A   
   1.40 MeV   2.073E+02  1.746E-01    6.53 um     2284 A      2307 A   
