 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  H- C.txt

 Ion = Molybdenum [42] , Mass = 94.906 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.067E+01  3.599E+02      71 A        16 A        11 A   
   1.50 keV   2.140E+01  3.708E+02      73 A        16 A        12 A   
   1.60 keV   2.210E+01  3.812E+02      76 A        17 A        12 A   
   1.70 keV   2.278E+01  3.910E+02      78 A        17 A        12 A   
   1.80 keV   2.344E+01  4.005E+02      80 A        18 A        13 A   
   2.00 keV   2.471E+01  4.182E+02      84 A        19 A        13 A   
   2.25 keV   2.621E+01  4.385E+02      89 A        20 A        14 A   
   2.50 keV   2.762E+01  4.571E+02      94 A        20 A        15 A   
   2.75 keV   2.897E+01  4.743E+02      99 A        21 A        16 A   
   3.00 keV   3.026E+01  4.902E+02     103 A        22 A        16 A   
   3.25 keV   3.150E+01  5.050E+02     108 A        23 A        17 A   
   3.50 keV   3.269E+01  5.188E+02     112 A        24 A        18 A   
   3.75 keV   3.383E+01  5.319E+02     116 A        24 A        18 A   
   4.00 keV   3.494E+01  5.442E+02     120 A        25 A        19 A   
   4.50 keV   3.706E+01  5.668E+02     128 A        27 A        20 A   
   5.00 keV   3.907E+01  5.873E+02     136 A        28 A        21 A   
   5.50 keV   4.097E+01  6.059E+02     143 A        29 A        22 A   
   6.00 keV   4.280E+01  6.229E+02     150 A        30 A        23 A   
   6.50 keV   4.454E+01  6.387E+02     157 A        31 A        24 A   
   7.00 keV   4.622E+01  6.532E+02     163 A        33 A        25 A   
   8.00 keV   4.942E+01  6.794E+02     176 A        35 A        27 A   
   9.00 keV   5.241E+01  7.024E+02     189 A        37 A        29 A   
  10.00 keV   5.525E+01  7.228E+02     201 A        39 A        30 A   
  11.00 keV   5.795E+01  7.410E+02     213 A        41 A        32 A   
  12.00 keV   6.052E+01  7.575E+02     225 A        42 A        34 A   
  13.00 keV   6.299E+01  7.724E+02     236 A        44 A        35 A   
  14.00 keV   6.537E+01  7.860E+02     247 A        46 A        37 A   
  15.00 keV   6.767E+01  7.985E+02     258 A        47 A        38 A   
