 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  H- C.txt

 Ion = Molybdenum [42] , Mass = 93.905 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.084E-01  5.125E+00       4 A         1 A           A   
    1.2 eV    6.084E-01  5.445E+00       4 A         1 A           A   
    1.3 eV    6.333E-01  5.758E+00       4 A         1 A           A   
    1.4 eV    6.572E-01  6.062E+00       4 A         1 A           A   
    1.5 eV    6.803E-01  6.359E+00       4 A         1 A           A   
    1.6 eV    7.026E-01  6.650E+00       4 A         1 A           A   
    1.7 eV    7.242E-01  6.934E+00       4 A         1 A           A   
    1.8 eV    7.452E-01  7.213E+00       5 A         1 A         1 A   
      2 eV    7.855E-01  7.755E+00       5 A         1 A         1 A   
   2.25 eV    8.331E-01  8.408E+00       5 A         1 A         1 A   
2.49999 eV    8.782E-01  9.036E+00       5 A         1 A         1 A   
2.74999 eV    9.211E-01  9.642E+00       6 A         1 A         1 A   
2.99999 eV    9.620E-01  1.023E+01       6 A         1 A         1 A   
3.24999 eV    1.001E+00  1.080E+01       6 A         1 A         1 A   
3.49999 eV    1.039E+00  1.135E+01       6 A         1 A         1 A   
3.74999 eV    1.076E+00  1.189E+01       6 A         1 A         1 A   
3.99999 eV    1.111E+00  1.242E+01       6 A         1 A         1 A   
4.49999 eV    1.178E+00  1.344E+01       7 A         1 A         1 A   
4.99999 eV    1.242E+00  1.442E+01       7 A         2 A         1 A   
5.49999 eV    1.303E+00  1.537E+01       7 A         2 A         1 A   
