 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 95.923 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.800E+01  5.836E+02      37 A        15 A        11 A   
   1.50 keV   2.898E+01  6.017E+02      39 A        15 A        11 A   
   1.60 keV   2.993E+01  6.189E+02      40 A        15 A        11 A   
   1.70 keV   3.085E+01  6.353E+02      41 A        16 A        12 A   
   1.80 keV   3.175E+01  6.510E+02      42 A        16 A        12 A   
   2.00 keV   3.346E+01  6.806E+02      44 A        17 A        12 A   
   2.25 keV   3.549E+01  7.146E+02      47 A        18 A        13 A   
   2.50 keV   3.741E+01  7.458E+02      50 A        19 A        14 A   
   2.75 keV   3.924E+01  7.746E+02      52 A        20 A        14 A   
   3.00 keV   4.099E+01  8.013E+02      55 A        20 A        15 A   
   3.25 keV   4.266E+01  8.263E+02      57 A        21 A        16 A   
   3.50 keV   4.427E+01  8.497E+02      59 A        22 A        16 A   
   3.75 keV   4.582E+01  8.718E+02      61 A        23 A        17 A   
   4.00 keV   4.733E+01  8.926E+02      64 A        23 A        17 A   
   4.50 keV   5.020E+01  9.311E+02      68 A        25 A        18 A   
   5.00 keV   5.291E+01  9.660E+02      72 A        26 A        19 A   
   5.50 keV   5.549E+01  9.978E+02      76 A        27 A        20 A   
   6.00 keV   5.796E+01  1.027E+03      79 A        28 A        21 A   
   6.50 keV   6.033E+01  1.054E+03      83 A        29 A        22 A   
   7.00 keV   6.261E+01  1.079E+03      87 A        30 A        23 A   
   8.00 keV   6.693E+01  1.124E+03      94 A        32 A        24 A   
   9.00 keV   7.099E+01  1.164E+03     101 A        34 A        26 A   
  10.00 keV   7.483E+01  1.200E+03     107 A        36 A        28 A   
  11.00 keV   7.848E+01  1.232E+03     114 A        38 A        29 A   
  12.00 keV   8.197E+01  1.261E+03     120 A        40 A        30 A   
  13.00 keV   8.532E+01  1.287E+03     126 A        41 A        32 A   
  14.00 keV   8.854E+01  1.311E+03     132 A        43 A        33 A   
  15.00 keV   9.165E+01  1.333E+03     138 A        45 A        34 A   
  16.00 keV   9.465E+01  1.354E+03     144 A        46 A        36 A   
  17.00 keV   9.756E+01  1.373E+03     149 A        48 A        37 A   
  18.00 keV   1.004E+02  1.390E+03     155 A        49 A        38 A   
  20.00 keV   1.058E+02  1.422E+03     166 A        52 A        41 A   
  22.50 keV   1.122E+02  1.456E+03     180 A        56 A        44 A   
  25.00 keV   1.183E+02  1.485E+03     193 A        59 A        46 A   
  27.50 keV   1.241E+02  1.511E+03     206 A        63 A        49 A   
  30.00 keV   1.296E+02  1.533E+03     219 A        66 A        52 A   
  32.50 keV   1.349E+02  1.552E+03     232 A        69 A        55 A   
  35.00 keV   1.400E+02  1.569E+03     244 A        72 A        57 A   
  37.50 keV   1.449E+02  1.584E+03     257 A        75 A        60 A   
  40.00 keV   1.497E+02  1.597E+03     269 A        79 A        62 A   
  45.00 keV   1.587E+02  1.619E+03     293 A        85 A        67 A   
  50.00 keV   1.673E+02  1.637E+03     317 A        90 A        72 A   
  55.00 keV   1.755E+02  1.651E+03     341 A        96 A        77 A   
  60.00 keV   1.833E+02  1.662E+03     365 A       102 A        81 A   
  65.00 keV   1.908E+02  1.670E+03     388 A       108 A        86 A   
  70.00 keV   1.980E+02  1.676E+03     411 A       113 A        90 A   
  80.00 keV   2.116E+02  1.684E+03     458 A       124 A        99 A   
  90.00 keV   2.245E+02  1.687E+03     504 A       135 A       108 A   
 100.00 keV   2.366E+02  1.687E+03     549 A       145 A       116 A   
 110.00 keV   2.482E+02  1.683E+03     595 A       156 A       125 A   
 120.00 keV   2.592E+02  1.678E+03     641 A       166 A       133 A   
 130.00 keV   2.698E+02  1.671E+03     686 A       176 A       141 A   
 140.00 keV   2.800E+02  1.663E+03     732 A       186 A       149 A   
 150.00 keV   2.898E+02  1.654E+03     778 A       196 A       157 A   
 160.00 keV   2.993E+02  1.645E+03     824 A       206 A       165 A   
 170.00 keV   3.085E+02  1.635E+03     869 A       216 A       173 A   
 180.00 keV   3.175E+02  1.624E+03     915 A       226 A       180 A   
 200.00 keV   3.590E+02  1.602E+03    1007 A       245 A       196 A   
 225.00 keV   4.304E+02  1.574E+03    1120 A       269 A       215 A   
 250.00 keV   4.765E+02  1.545E+03    1232 A       291 A       234 A   
 275.00 keV   5.075E+02  1.517E+03    1344 A       313 A       252 A   
 300.00 keV   5.299E+02  1.489E+03    1456 A       334 A       270 A   
 325.00 keV   5.475E+02  1.462E+03    1569 A       355 A       288 A   
 350.00 keV   5.628E+02  1.436E+03    1682 A       377 A       306 A   
 375.00 keV   5.771E+02  1.411E+03    1797 A       397 A       324 A   
 400.00 keV   5.912E+02  1.386E+03    1912 A       418 A       341 A   
 450.00 keV   6.199E+02  1.339E+03    2145 A       459 A       376 A   
 500.00 keV   6.499E+02  1.296E+03    2381 A       500 A       411 A   
 550.00 keV   6.811E+02  1.255E+03    2618 A       540 A       446 A   
 600.00 keV   7.128E+02  1.218E+03    2857 A       579 A       480 A   
 650.00 keV   7.445E+02  1.182E+03    3098 A       617 A       515 A   
 700.00 keV   7.758E+02  1.149E+03    3339 A       654 A       549 A   
 800.00 keV   8.361E+02  1.090E+03    3823 A       727 A       616 A   
 900.00 keV   8.926E+02  1.037E+03    4308 A       797 A       683 A   
   1.00 MeV   9.451E+02  9.892E+02    4794 A       864 A       748 A   
   1.10 MeV   9.940E+02  9.468E+02    5279 A       928 A       813 A   
