 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.708E+01  4.578E+00     479 A       229 A       192 A   
   1.50 keV   1.768E+01  4.425E+00     511 A       239 A       202 A   
   1.60 keV   1.826E+01  4.284E+00     543 A       250 A       212 A   
   1.70 keV   1.882E+01  4.154E+00     576 A       259 A       222 A   
   1.80 keV   1.937E+01  4.032E+00     607 A       269 A       231 A   
   2.00 keV   2.042E+01  3.814E+00     670 A       286 A       249 A   
   2.25 keV   2.166E+01  3.577E+00     747 A       307 A       270 A   
   2.50 keV   2.283E+01  3.372E+00     823 A       325 A       290 A   
   2.75 keV   2.394E+01  3.194E+00     897 A       343 A       309 A   
   3.00 keV   2.501E+01  3.036E+00     969 A       359 A       327 A   
   3.25 keV   2.603E+01  2.896E+00    1041 A       374 A       343 A   
   3.50 keV   2.701E+01  2.769E+00    1110 A       387 A       359 A   
   3.75 keV   2.796E+01  2.656E+00    1179 A       400 A       375 A   
   4.00 keV   2.888E+01  2.552E+00    1246 A       413 A       389 A   
   4.50 keV   3.054E+01  2.371E+00    1378 A       435 A       416 A   
   5.00 keV   3.211E+01  2.217E+00    1506 A       455 A       442 A   
   5.50 keV   3.360E+01  2.084E+00    1630 A       473 A       465 A   
   6.00 keV   3.501E+01  1.969E+00    1750 A       490 A       487 A   
   6.50 keV   3.637E+01  1.867E+00    1868 A       505 A       507 A   
   7.00 keV   3.767E+01  1.776E+00    1983 A       519 A       526 A   
   8.00 keV   4.013E+01  1.622E+00    2205 A       544 A       561 A   
   9.00 keV   4.243E+01  1.496E+00    2418 A       565 A       592 A   
  10.00 keV   4.459E+01  1.390E+00    2622 A       584 A       621 A   
  11.00 keV   4.663E+01  1.299E+00    2819 A       601 A       647 A   
  12.00 keV   4.856E+01  1.221E+00    3010 A       616 A       671 A   
  13.00 keV   5.041E+01  1.153E+00    3195 A       630 A       693 A   
  14.00 keV   5.217E+01  1.092E+00    3375 A       643 A       713 A   
  15.00 keV   5.385E+01  1.039E+00    3550 A       654 A       732 A   
  16.00 keV   5.547E+01  9.909E-01    3720 A       665 A       750 A   
  17.00 keV   5.702E+01  9.475E-01    3886 A       674 A       767 A   
  18.00 keV   5.852E+01  9.083E-01    4049 A       683 A       783 A   
  20.00 keV   6.135E+01  8.396E-01    4364 A       700 A       813 A   
  22.50 keV   6.462E+01  7.684E-01    4741 A       719 A       845 A   
  25.00 keV   6.763E+01  7.094E-01    5103 A       735 A       875 A   
  27.50 keV   7.041E+01  6.595E-01    5451 A       750 A       901 A   
  30.00 keV   7.298E+01  6.169E-01    5787 A       763 A       925 A   
  32.50 keV   7.538E+01  5.799E-01    6113 A       774 A       947 A   
  35.00 keV   7.760E+01  5.474E-01    6430 A       785 A       968 A   
  37.50 keV   7.968E+01  5.187E-01    6739 A       794 A       987 A   
  40.00 keV   8.161E+01  4.932E-01    7041 A       803 A      1005 A   
  45.00 keV   8.510E+01  4.495E-01    7626 A       821 A      1038 A   
  50.00 keV   8.815E+01  4.135E-01    8191 A       837 A      1067 A   
  55.00 keV   9.082E+01  3.833E-01    8740 A       851 A      1093 A   
  60.00 keV   9.315E+01  3.575E-01    9274 A       864 A      1118 A   
  65.00 keV   9.520E+01  3.353E-01    9797 A       876 A      1140 A   
  70.00 keV   9.698E+01  3.158E-01    1.03 um      887 A      1162 A   
  80.00 keV   9.989E+01  2.834E-01    1.13 um      913 A      1200 A   
  90.00 keV   1.021E+02  2.575E-01    1.23 um      935 A      1235 A   
 100.00 keV   1.036E+02  2.362E-01    1.33 um      956 A      1267 A   
 110.00 keV   1.047E+02  2.185E-01    1.42 um      976 A      1297 A   
 120.00 keV   1.053E+02  2.033E-01    1.52 um      995 A      1325 A   
 130.00 keV   1.055E+02  1.903E-01    1.61 um     1012 A      1352 A   
 140.00 keV   1.055E+02  1.790E-01    1.70 um     1029 A      1378 A   
 150.00 keV   1.051E+02  1.690E-01    1.80 um     1046 A      1402 A   
 160.00 keV   1.046E+02  1.602E-01    1.89 um     1062 A      1426 A   
 170.00 keV   1.038E+02  1.522E-01    1.99 um     1078 A      1450 A   
 180.00 keV   1.029E+02  1.451E-01    2.08 um     1094 A      1473 A   
 200.00 keV   1.008E+02  1.329E-01    2.28 um     1142 A      1518 A   
 225.00 keV   9.768E+01  1.203E-01    2.53 um     1213 A      1574 A   
 250.00 keV   9.435E+01  1.101E-01    2.79 um     1283 A      1629 A   
 275.00 keV   9.097E+01  1.015E-01    3.06 um     1354 A      1685 A   
 300.00 keV   8.764E+01  9.432E-02    3.34 um     1425 A      1741 A   
