 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C.txt

 Ion = Krypton [36] , Mass = 80.916 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.894E-01  5.512E+00       3 A         1 A           A   
    1.2 eV    9.894E-01  5.854E+00       3 A         1 A           A   
    1.3 eV    1.030E+00  6.186E+00       3 A         1 A           A   
    1.4 eV    1.069E+00  6.510E+00       4 A         1 A           A   
    1.5 eV    1.106E+00  6.826E+00       4 A         1 A           A   
    1.6 eV    1.142E+00  7.135E+00       4 A         1 A           A   
    1.7 eV    1.178E+00  7.438E+00       4 A         1 A           A   
    1.8 eV    1.212E+00  7.734E+00       4 A         1 A           A   
      2 eV    1.277E+00  8.310E+00       4 A         1 A         1 A   
   2.25 eV    1.355E+00  9.002E+00       4 A         1 A         1 A   
2.49999 eV    1.428E+00  9.667E+00       5 A         1 A         1 A   
2.74999 eV    1.498E+00  1.031E+01       5 A         1 A         1 A   
2.99999 eV    1.564E+00  1.093E+01       5 A         1 A         1 A   
3.24999 eV    1.628E+00  1.153E+01       5 A         1 A         1 A   
3.49999 eV    1.690E+00  1.212E+01       5 A         1 A         1 A   
3.74999 eV    1.749E+00  1.269E+01       6 A         1 A         1 A   
3.99999 eV    1.806E+00  1.325E+01       6 A         1 A         1 A   
4.49999 eV    1.916E+00  1.432E+01       6 A         1 A         1 A   
4.99999 eV    2.020E+00  1.535E+01       6 A         1 A         1 A   
5.49999 eV    2.118E+00  1.635E+01       7 A         1 A         1 A   
