 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.396E+01  6.456E+00     494 A       226 A       184 A   
   1.50 keV   1.445E+01  6.249E+00     529 A       238 A       195 A   
   1.60 keV   1.492E+01  6.057E+00     564 A       249 A       206 A   
   1.70 keV   1.538E+01  5.880E+00     599 A       260 A       216 A   
   1.80 keV   1.583E+01  5.714E+00     634 A       271 A       226 A   
   2.00 keV   1.669E+01  5.414E+00     703 A       292 A       246 A   
   2.25 keV   1.770E+01  5.089E+00     788 A       315 A       270 A   
   2.50 keV   1.865E+01  4.806E+00     872 A       338 A       292 A   
   2.75 keV   1.957E+01  4.559E+00     955 A       358 A       314 A   
   3.00 keV   2.044E+01  4.339E+00    1037 A       378 A       335 A   
   3.25 keV   2.127E+01  4.143E+00    1117 A       396 A       354 A   
   3.50 keV   2.207E+01  3.967E+00    1197 A       413 A       373 A   
   3.75 keV   2.285E+01  3.808E+00    1275 A       429 A       391 A   
   4.00 keV   2.360E+01  3.662E+00    1352 A       444 A       409 A   
   4.50 keV   2.503E+01  3.407E+00    1503 A       472 A       442 A   
   5.00 keV   2.638E+01  3.190E+00    1650 A       498 A       472 A   
   5.50 keV   2.767E+01  3.003E+00    1793 A       521 A       501 A   
   6.00 keV   2.890E+01  2.839E+00    1933 A       542 A       528 A   
   6.50 keV   3.002E+01  2.695E+00    2069 A       562 A       553 A   
   7.00 keV   3.110E+01  2.566E+00    2202 A       580 A       576 A   
   8.00 keV   3.313E+01  2.347E+00    2461 A       613 A       620 A   
   9.00 keV   3.504E+01  2.166E+00    2710 A       641 A       660 A   
  10.00 keV   3.684E+01  2.014E+00    2950 A       666 A       696 A   
  11.00 keV   3.854E+01  1.885E+00    3182 A       689 A       729 A   
  12.00 keV   4.016E+01  1.772E+00    3407 A       709 A       759 A   
  13.00 keV   4.171E+01  1.674E+00    3625 A       728 A       788 A   
  14.00 keV   4.320E+01  1.588E+00    3837 A       745 A       814 A   
  15.00 keV   4.462E+01  1.511E+00    4044 A       760 A       839 A   
  16.00 keV   4.600E+01  1.442E+00    4246 A       774 A       862 A   
  17.00 keV   4.732E+01  1.379E+00    4442 A       787 A       884 A   
  18.00 keV   4.860E+01  1.322E+00    4635 A       800 A       904 A   
  20.00 keV   5.104E+01  1.223E+00    5008 A       823 A       942 A   
  22.50 keV   5.389E+01  1.120E+00    5455 A       848 A       985 A   
  25.00 keV   5.655E+01  1.035E+00    5882 A       870 A      1023 A   
  27.50 keV   5.905E+01  9.629E-01    6293 A       889 A      1058 A   
  30.00 keV   6.139E+01  9.011E-01    6689 A       906 A      1089 A   
  32.50 keV   6.360E+01  8.474E-01    7072 A       922 A      1118 A   
  35.00 keV   6.569E+01  8.003E-01    7444 A       936 A      1144 A   
  37.50 keV   6.767E+01  7.586E-01    7806 A       949 A      1169 A   
  40.00 keV   6.955E+01  7.215E-01    8158 A       960 A      1192 A   
  45.00 keV   7.303E+01  6.580E-01    8839 A       984 A      1234 A   
  50.00 keV   7.619E+01  6.056E-01    9491 A      1004 A      1271 A   
  55.00 keV   7.905E+01  5.616E-01    1.01 um     1022 A      1304 A   
  60.00 keV   8.166E+01  5.240E-01    1.07 um     1038 A      1335 A   
  65.00 keV   8.404E+01  4.915E-01    1.13 um     1052 A      1363 A   
  70.00 keV   8.621E+01  4.632E-01    1.19 um     1066 A      1389 A   
  80.00 keV   9.001E+01  4.159E-01    1.30 um     1095 A      1436 A   
  90.00 keV   9.320E+01  3.781E-01    1.41 um     1121 A      1477 A   
 100.00 keV   9.586E+01  3.470E-01    1.51 um     1144 A      1515 A   
 110.00 keV   9.808E+01  3.209E-01    1.62 um     1165 A      1549 A   
 120.00 keV   9.993E+01  2.988E-01    1.72 um     1185 A      1580 A   
 130.00 keV   1.014E+02  2.798E-01    1.81 um     1203 A      1610 A   
 140.00 keV   1.027E+02  2.632E-01    1.91 um     1220 A      1637 A   
 150.00 keV   1.037E+02  2.485E-01    2.01 um     1236 A      1664 A   
 160.00 keV   1.044E+02  2.356E-01    2.10 um     1252 A      1689 A   
 170.00 keV   1.049E+02  2.240E-01    2.20 um     1267 A      1713 A   
 180.00 keV   1.053E+02  2.136E-01    2.29 um     1281 A      1736 A   
 200.00 keV   1.056E+02  1.956E-01    2.48 um     1322 A      1780 A   
 225.00 keV   1.051E+02  1.772E-01    2.72 um     1380 A      1831 A   
 250.00 keV   1.041E+02  1.621E-01    2.95 um     1435 A      1880 A   
 275.00 keV   1.026E+02  1.496E-01    3.20 um     1489 A      1928 A   
 300.00 keV   1.007E+02  1.390E-01    3.44 um     1542 A      1974 A   
 325.00 keV   9.870E+01  1.299E-01    3.69 um     1595 A      2020 A   
 350.00 keV   9.653E+01  1.219E-01    3.95 um     1648 A      2065 A   
 375.00 keV   9.429E+01  1.150E-01    4.21 um     1701 A      2111 A   
 400.00 keV   9.203E+01  1.088E-01    4.47 um     1755 A      2156 A   
 450.00 keV   8.758E+01  9.838E-02    5.03 um     1947 A      2248 A   
 500.00 keV   8.334E+01  8.988E-02    5.61 um     2138 A      2343 A   
 550.00 keV   7.939E+01  8.281E-02    6.23 um     2330 A      2441 A   
 600.00 keV   7.575E+01  7.682E-02    6.87 um     2524 A      2542 A   
 650.00 keV   7.241E+01  7.170E-02    7.54 um     2722 A      2648 A   
 700.00 keV   6.936E+01  6.725E-02    8.25 um     2922 A      2758 A   
 800.00 keV   6.400E+01  5.990E-02    9.75 um     3653 A      2993 A   
 900.00 keV   5.948E+01  5.407E-02   11.37 um     4353 A      3247 A   
   1.00 MeV   5.564E+01  4.933E-02   13.10 um     5040 A      3521 A   
   1.10 MeV   5.234E+01  4.540E-02   14.95 um     5723 A      3814 A   
   1.20 MeV   4.946E+01  4.207E-02   16.91 um     6407 A      4126 A   
   1.30 MeV   4.694E+01  3.922E-02   18.99 um     7093 A      4457 A   
   1.40 MeV   4.471E+01  3.676E-02   21.17 um     7783 A      4807 A   
   1.50 MeV   4.272E+01  3.460E-02   23.45 um     8478 A      5174 A   
