 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.656E+01  6.303E+00     280 A       246 A       189 A   
   1.50 keV   1.714E+01  6.206E+00     299 A       258 A       199 A   
   1.60 keV   1.771E+01  6.112E+00     319 A       270 A       209 A   
   1.70 keV   1.825E+01  6.019E+00     338 A       282 A       219 A   
   1.80 keV   1.878E+01  5.930E+00     357 A       293 A       228 A   
   2.00 keV   1.980E+01  5.758E+00     396 A       315 A       246 A   
   2.25 keV   2.100E+01  5.558E+00     444 A       341 A       269 A   
   2.50 keV   2.213E+01  5.371E+00     493 A       366 A       290 A   
   2.75 keV   2.321E+01  5.199E+00     541 A       389 A       311 A   
   3.00 keV   2.425E+01  5.038E+00     589 A       412 A       331 A   
   3.25 keV   2.524E+01  4.888E+00     637 A       433 A       350 A   
   3.50 keV   2.619E+01  4.749E+00     684 A       454 A       369 A   
   3.75 keV   2.711E+01  4.618E+00     731 A       474 A       387 A   
   4.00 keV   2.800E+01  4.496E+00     778 A       493 A       405 A   
   4.50 keV   2.969E+01  4.272E+00     872 A       529 A       439 A   
   5.00 keV   3.130E+01  4.074E+00     964 A       563 A       471 A   
   5.50 keV   3.283E+01  3.895E+00    1055 A       594 A       502 A   
   6.00 keV   3.429E+01  3.735E+00    1145 A       623 A       532 A   
   6.50 keV   3.556E+01  3.589E+00    1234 A       651 A       560 A   
   7.00 keV   3.681E+01  3.456E+00    1322 A       677 A       587 A   
   8.00 keV   3.923E+01  3.222E+00    1496 A       725 A       638 A   
   9.00 keV   4.155E+01  3.022E+00    1665 A       769 A       685 A   
