 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.865E+01  2.218E+00     241 A       206 A       162 A   
   1.50 keV   2.966E+01  2.182E+00     256 A       214 A       169 A   
   1.60 keV   3.063E+01  2.147E+00     271 A       222 A       176 A   
   1.70 keV   3.157E+01  2.113E+00     287 A       230 A       183 A   
   1.80 keV   3.249E+01  2.080E+00     302 A       237 A       189 A   
   2.00 keV   3.424E+01  2.017E+00     332 A       251 A       202 A   
   2.25 keV   3.614E+01  1.944E+00     369 A       268 A       217 A   
   2.50 keV   3.798E+01  1.876E+00     406 A       283 A       231 A   
   2.75 keV   3.977E+01  1.813E+00     442 A       298 A       245 A   
   3.00 keV   4.149E+01  1.755E+00     478 A       311 A       258 A   
   3.25 keV   4.315E+01  1.702E+00     513 A       324 A       270 A   
   3.50 keV   4.474E+01  1.652E+00     548 A       336 A       282 A   
   3.75 keV   4.626E+01  1.605E+00     583 A       348 A       293 A   
   4.00 keV   4.771E+01  1.561E+00     617 A       359 A       304 A   
   4.50 keV   5.041E+01  1.481E+00     684 A       379 A       325 A   
   5.00 keV   5.286E+01  1.411E+00     750 A       397 A       345 A   
   5.50 keV   5.511E+01  1.348E+00     815 A       415 A       363 A   
   6.00 keV   5.719E+01  1.291E+00     879 A       431 A       380 A   
   6.50 keV   5.915E+01  1.239E+00     941 A       445 A       397 A   
   7.00 keV   6.103E+01  1.193E+00    1003 A       459 A       413 A   
   8.00 keV   6.463E+01  1.110E+00    1124 A       485 A       443 A   
   9.00 keV   6.812E+01  1.040E+00    1242 A       508 A       470 A   
