 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C.txt

 Ion = Krypton [36] , Mass = 79.916 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    9.955E-01  5.549E+00       3 A         1 A           A   
    1.2 eV    9.955E-01  5.893E+00       3 A         1 A           A   
    1.3 eV    1.036E+00  6.227E+00       3 A         1 A           A   
    1.4 eV    1.075E+00  6.553E+00       4 A         1 A           A   
    1.5 eV    1.113E+00  6.871E+00       4 A         1 A           A   
    1.6 eV    1.150E+00  7.182E+00       4 A         1 A           A   
    1.7 eV    1.185E+00  7.486E+00       4 A         1 A           A   
    1.8 eV    1.219E+00  7.785E+00       4 A         1 A           A   
      2 eV    1.285E+00  8.364E+00       4 A         1 A         1 A   
   2.25 eV    1.363E+00  9.060E+00       4 A         1 A         1 A   
2.49999 eV    1.437E+00  9.729E+00       5 A         1 A         1 A   
2.74999 eV    1.507E+00  1.037E+01       5 A         1 A         1 A   
2.99999 eV    1.574E+00  1.100E+01       5 A         1 A         1 A   
3.24999 eV    1.638E+00  1.161E+01       5 A         1 A         1 A   
3.49999 eV    1.700E+00  1.220E+01       5 A         1 A         1 A   
3.74999 eV    1.760E+00  1.277E+01       6 A         1 A         1 A   
3.99999 eV    1.818E+00  1.333E+01       6 A         1 A         1 A   
4.49999 eV    1.928E+00  1.441E+01       6 A         1 A         1 A   
4.99999 eV    2.032E+00  1.545E+01       6 A         1 A         1 A   
5.49999 eV    2.131E+00  1.645E+01       6 A         1 A         1 A   
