 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 93.926 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.856E-01  5.089E+00       4 A         1 A           A   
    1.2 eV    5.856E-01  5.407E+00       4 A         1 A           A   
    1.3 eV    6.095E-01  5.715E+00       4 A         1 A           A   
    1.4 eV    6.325E-01  6.016E+00       4 A         1 A           A   
    1.5 eV    6.547E-01  6.310E+00       4 A         1 A           A   
    1.6 eV    6.762E-01  6.597E+00       4 A         1 A           A   
    1.7 eV    6.970E-01  6.878E+00       5 A         1 A           A   
    1.8 eV    7.172E-01  7.153E+00       5 A         1 A         1 A   
      2 eV    7.560E-01  7.689E+00       5 A         1 A         1 A   
   2.25 eV    8.019E-01  8.333E+00       5 A         1 A         1 A   
2.49999 eV    8.452E-01  8.952E+00       5 A         1 A         1 A   
2.74999 eV    8.865E-01  9.550E+00       6 A         1 A         1 A   
2.99999 eV    9.259E-01  1.013E+01       6 A         1 A         1 A   
3.24999 eV    9.637E-01  1.069E+01       6 A         1 A         1 A   
3.49999 eV    1.000E+00  1.124E+01       6 A         1 A         1 A   
3.74999 eV    1.035E+00  1.177E+01       6 A         1 A         1 A   
3.99999 eV    1.069E+00  1.229E+01       7 A         1 A         1 A   
4.49999 eV    1.134E+00  1.329E+01       7 A         1 A         1 A   
4.99999 eV    1.195E+00  1.426E+01       7 A         2 A         1 A   
5.49999 eV    1.254E+00  1.518E+01       7 A         2 A         1 A   
