 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.006E+01  1.705E+01     155 A       152 A       114 A   
   1.50 keV   2.076E+01  1.697E+01     165 A       160 A       120 A   
   1.60 keV   2.144E+01  1.688E+01     175 A       168 A       126 A   
   1.70 keV   2.210E+01  1.678E+01     185 A       175 A       132 A   
   1.80 keV   2.274E+01  1.668E+01     196 A       183 A       138 A   
   2.00 keV   2.397E+01  1.646E+01     216 A       197 A       150 A   
   2.25 keV   2.543E+01  1.619E+01     242 A       215 A       164 A   
   2.50 keV   2.680E+01  1.591E+01     268 A       232 A       177 A   
   2.75 keV   2.811E+01  1.563E+01     293 A       249 A       191 A   
   3.00 keV   2.936E+01  1.535E+01     319 A       266 A       204 A   
   3.25 keV   3.056E+01  1.509E+01     345 A       282 A       217 A   
   3.50 keV   3.171E+01  1.482E+01     371 A       297 A       229 A   
   3.75 keV   3.283E+01  1.457E+01     397 A       312 A       242 A   
   4.00 keV   3.390E+01  1.432E+01     423 A       327 A       254 A   
   4.50 keV   3.596E+01  1.385E+01     475 A       356 A       278 A   
   5.00 keV   3.790E+01  1.341E+01     527 A       383 A       301 A   
   5.50 keV   3.975E+01  1.300E+01     579 A       409 A       324 A   
   6.00 keV   4.152E+01  1.262E+01     631 A       434 A       345 A   
   6.50 keV   4.322E+01  1.226E+01     683 A       459 A       367 A   
   7.00 keV   4.485E+01  1.193E+01     734 A       482 A       387 A   
   8.00 keV   4.795E+01  1.132E+01     837 A       526 A       427 A   
   9.00 keV   5.089E+01  1.078E+01     939 A       567 A       465 A   
  10.00 keV   5.363E+01  1.029E+01    1040 A       605 A       502 A   
  11.00 keV   5.619E+01  9.856E+00    1141 A       642 A       536 A   
  12.00 keV   5.863E+01  9.462E+00    1240 A       676 A       569 A   
  13.00 keV   6.101E+01  9.103E+00    1338 A       708 A       601 A   
  14.00 keV   6.336E+01  8.775E+00    1436 A       739 A       632 A   
  15.00 keV   6.571E+01  8.473E+00    1532 A       768 A       662 A   
  16.00 keV   6.807E+01  8.195E+00    1627 A       795 A       690 A   
  17.00 keV   7.045E+01  7.938E+00    1721 A       821 A       718 A   
  18.00 keV   7.283E+01  7.699E+00    1813 A       846 A       744 A   
  20.00 keV   7.759E+01  7.268E+00    1994 A       891 A       794 A   
  22.50 keV   8.346E+01  6.803E+00    2212 A       943 A       852 A   
