 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C.txt

 Ion = Krypton [36] , Mass = 81.913 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.359E+01  3.551E+02      67 A        15 A        11 A   
   1.50 keV   3.477E+01  3.653E+02      69 A        16 A        12 A   
   1.60 keV   3.591E+01  3.749E+02      71 A        16 A        12 A   
   1.70 keV   3.701E+01  3.841E+02      73 A        17 A        12 A   
   1.80 keV   3.808E+01  3.928E+02      76 A        17 A        13 A   
   2.00 keV   4.014E+01  4.091E+02      80 A        18 A        13 A   
   2.25 keV   4.258E+01  4.278E+02      85 A        19 A        14 A   
   2.50 keV   4.488E+01  4.447E+02      89 A        20 A        15 A   
   2.75 keV   4.707E+01  4.603E+02      94 A        21 A        15 A   
   3.00 keV   4.917E+01  4.746E+02      98 A        22 A        16 A   
   3.25 keV   5.117E+01  4.880E+02     103 A        22 A        17 A   
   3.50 keV   5.311E+01  5.004E+02     107 A        23 A        17 A   
   3.75 keV   5.497E+01  5.120E+02     111 A        24 A        18 A   
   4.00 keV   5.677E+01  5.229E+02     115 A        25 A        19 A   
   4.50 keV   6.022E+01  5.429E+02     123 A        26 A        20 A   
   5.00 keV   6.347E+01  5.608E+02     130 A        27 A        21 A   
   5.50 keV   6.657E+01  5.770E+02     138 A        29 A        22 A   
   6.00 keV   6.953E+01  5.917E+02     145 A        30 A        23 A   
   6.50 keV   7.237E+01  6.052E+02     152 A        31 A        24 A   
   7.00 keV   7.510E+01  6.176E+02     158 A        32 A        25 A   
   8.00 keV   8.029E+01  6.398E+02     171 A        34 A        27 A   
   9.00 keV   8.516E+01  6.590E+02     184 A        36 A        29 A   
  10.00 keV   8.977E+01  6.759E+02     196 A        38 A        31 A   
  11.00 keV   9.415E+01  6.908E+02     208 A        40 A        32 A   
  12.00 keV   9.833E+01  7.041E+02     220 A        42 A        34 A   
  13.00 keV   1.023E+02  7.161E+02     232 A        44 A        36 A   
  14.00 keV   1.062E+02  7.269E+02     243 A        46 A        37 A   
  15.00 keV   1.099E+02  7.367E+02     254 A        48 A        39 A   
  16.00 keV   1.135E+02  7.455E+02     265 A        49 A        40 A   
  17.00 keV   1.170E+02  7.537E+02     276 A        51 A        42 A   
  18.00 keV   1.204E+02  7.611E+02     287 A        53 A        43 A   
  20.00 keV   1.269E+02  7.742E+02     308 A        56 A        46 A   
  22.50 keV   1.346E+02  7.878E+02     333 A        60 A        50 A   
  25.00 keV   1.419E+02  7.991E+02     358 A        63 A        53 A   
  27.50 keV   1.489E+02  8.083E+02     383 A        67 A        56 A   
  30.00 keV   1.555E+02  8.160E+02     408 A        71 A        59 A   
  32.50 keV   1.618E+02  8.224E+02     432 A        74 A        62 A   
  35.00 keV   1.679E+02  8.278E+02     455 A        77 A        66 A   
  37.50 keV   1.738E+02  8.321E+02     479 A        81 A        69 A   
  40.00 keV   1.795E+02  8.357E+02     502 A        84 A        71 A   
  45.00 keV   1.904E+02  8.410E+02     548 A        90 A        77 A   
  50.00 keV   2.007E+02  8.442E+02     594 A        97 A        83 A   
  55.00 keV   2.105E+02  8.458E+02     639 A       103 A        88 A   
  60.00 keV   2.199E+02  8.462E+02     684 A       109 A        94 A   
  65.00 keV   2.289E+02  8.457E+02     728 A       115 A        99 A   
  70.00 keV   2.375E+02  8.443E+02     772 A       121 A       104 A   
  80.00 keV   2.539E+02  8.399E+02     860 A       132 A       115 A   
  90.00 keV   2.693E+02  8.337E+02     946 A       143 A       125 A   
 100.00 keV   2.839E+02  8.265E+02    1033 A       154 A       134 A   
 110.00 keV   2.977E+02  8.186E+02    1118 A       165 A       144 A   
 120.00 keV   3.110E+02  8.102E+02    1204 A       175 A       154 A   
 130.00 keV   3.237E+02  8.015E+02    1289 A       185 A       163 A   
 140.00 keV   3.359E+02  7.926E+02    1374 A       195 A       172 A   
 150.00 keV   3.477E+02  7.837E+02    1459 A       205 A       181 A   
 160.00 keV   3.591E+02  7.748E+02    1544 A       215 A       190 A   
 170.00 keV   3.380E+02  7.659E+02    1630 A       225 A       199 A   
 180.00 keV   3.072E+02  7.571E+02    1719 A       235 A       208 A   
 200.00 keV   2.718E+02  7.399E+02    1904 A       256 A       227 A   
 225.00 keV   2.573E+02  7.193E+02    2147 A       284 A       251 A   
 250.00 keV   2.600E+02  6.996E+02    2396 A       313 A       275 A   
 275.00 keV   2.714E+02  6.810E+02    2648 A       341 A       300 A   
 300.00 keV   2.867E+02  6.634E+02    2902 A       369 A       325 A   
 325.00 keV   3.036E+02  6.467E+02    3157 A       396 A       350 A   
 350.00 keV   3.206E+02  6.309E+02    3411 A       422 A       375 A   
 375.00 keV   3.372E+02  6.160E+02    3665 A       448 A       399 A   
 400.00 keV   3.530E+02  6.019E+02    3919 A       473 A       424 A   
 450.00 keV   3.815E+02  5.757E+02    4426 A       524 A       473 A   
 500.00 keV   4.063E+02  5.521E+02    4933 A       573 A       521 A   
 550.00 keV   4.278E+02  5.306E+02    5440 A       619 A       568 A   
 600.00 keV   4.466E+02  5.110E+02    5948 A       664 A       615 A   
 650.00 keV   4.635E+02  4.931E+02    6456 A       708 A       661 A   
 700.00 keV   4.789E+02  4.765E+02    6966 A       750 A       706 A   
 800.00 keV   5.064E+02  4.471E+02    7988 A       837 A       796 A   
 900.00 keV   5.314E+02  4.217E+02    9013 A       919 A       883 A   
   1.00 MeV   5.551E+02  3.994E+02    1.00 um      996 A       968 A   
   1.10 MeV   5.783E+02  3.797E+02    1.11 um     1069 A      1051 A   
   1.20 MeV   6.015E+02  3.622E+02    1.21 um     1138 A      1132 A   
   1.30 MeV   6.248E+02  3.465E+02    1.31 um     1204 A      1211 A   
