 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in  H- C.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.979E+01  3.426E+02      74 A        16 A        12 A   
   1.50 keV   2.049E+01  3.527E+02      76 A        17 A        12 A   
   1.60 keV   2.116E+01  3.624E+02      79 A        17 A        12 A   
   1.70 keV   2.181E+01  3.715E+02      81 A        18 A        13 A   
   1.80 keV   2.244E+01  3.803E+02      83 A        18 A        13 A   
   2.00 keV   2.366E+01  3.967E+02      88 A        19 A        14 A   
   2.25 keV   2.509E+01  4.154E+02      93 A        20 A        15 A   
   2.50 keV   2.645E+01  4.326E+02      98 A        21 A        15 A   
   2.75 keV   2.774E+01  4.483E+02     103 A        22 A        16 A   
   3.00 keV   2.897E+01  4.629E+02     108 A        23 A        17 A   
   3.25 keV   3.015E+01  4.764E+02     113 A        24 A        17 A   
   3.50 keV   3.129E+01  4.891E+02     117 A        24 A        18 A   
   3.75 keV   3.239E+01  5.010E+02     121 A        25 A        19 A   
   4.00 keV   3.345E+01  5.122E+02     126 A        26 A        19 A   
   4.50 keV   3.548E+01  5.327E+02     134 A        27 A        21 A   
   5.00 keV   3.740E+01  5.513E+02     142 A        29 A        22 A   
   5.50 keV   3.923E+01  5.681E+02     150 A        30 A        23 A   
   6.00 keV   4.097E+01  5.834E+02     157 A        31 A        24 A   
   6.50 keV   4.265E+01  5.976E+02     165 A        32 A        25 A   
   7.00 keV   4.426E+01  6.106E+02     172 A        34 A        26 A   
   8.00 keV   4.731E+01  6.340E+02     186 A        36 A        28 A   
   9.00 keV   5.018E+01  6.544E+02     199 A        38 A        30 A   
  10.00 keV   5.290E+01  6.724E+02     212 A        40 A        32 A   
  11.00 keV   5.548E+01  6.885E+02     225 A        42 A        33 A   
  12.00 keV   5.794E+01  7.029E+02     238 A        44 A        35 A   
  13.00 keV   6.031E+01  7.160E+02     250 A        46 A        37 A   
  14.00 keV   6.259E+01  7.278E+02     262 A        48 A        38 A   
  15.00 keV   6.478E+01  7.386E+02     273 A        49 A        40 A   
  16.00 keV   6.691E+01  7.485E+02     285 A        51 A        41 A   
  17.00 keV   6.897E+01  7.576E+02     297 A        53 A        43 A   
  18.00 keV   7.097E+01  7.659E+02     308 A        54 A        44 A   
  20.00 keV   7.481E+01  7.808E+02     330 A        58 A        47 A   
  22.50 keV   7.934E+01  7.966E+02     357 A        62 A        51 A   
  25.00 keV   8.363E+01  8.098E+02     384 A        65 A        54 A   
  27.50 keV   8.772E+01  8.210E+02     410 A        69 A        58 A   
  30.00 keV   9.162E+01  8.305E+02     436 A        73 A        61 A   
  32.50 keV   9.536E+01  8.386E+02     461 A        76 A        64 A   
  35.00 keV   9.896E+01  8.456E+02     486 A        80 A        67 A   
  37.50 keV   1.024E+02  8.515E+02     511 A        83 A        70 A   
  40.00 keV   1.058E+02  8.566E+02     536 A        86 A        74 A   
  45.00 keV   1.122E+02  8.646E+02     585 A        93 A        79 A   
  50.00 keV   1.183E+02  8.704E+02     633 A       100 A        85 A   
  55.00 keV   1.241E+02  8.743E+02     681 A       106 A        91 A   
  60.00 keV   1.296E+02  8.769E+02     729 A       112 A        97 A   
  65.00 keV   1.349E+02  8.783E+02     776 A       118 A       102 A   
  70.00 keV   1.399E+02  8.789E+02     823 A       124 A       108 A   
  80.00 keV   1.496E+02  8.778E+02     916 A       136 A       119 A   
  90.00 keV   1.587E+02  8.746E+02    1008 A       148 A       129 A   
 100.00 keV   1.673E+02  8.700E+02    1101 A       160 A       139 A   
 110.00 keV   1.754E+02  8.643E+02    1193 A       171 A       150 A   
 120.00 keV   1.832E+02  8.579E+02    1285 A       182 A       160 A   
 130.00 keV   1.907E+02  8.510E+02    1377 A       193 A       170 A   
 140.00 keV   1.979E+02  8.437E+02    1469 A       204 A       180 A   
 150.00 keV   2.049E+02  8.362E+02    1561 A       214 A       190 A   
 160.00 keV   2.116E+02  8.286E+02    1654 A       225 A       199 A   
 170.00 keV   2.181E+02  8.208E+02    1746 A       236 A       209 A   
 180.00 keV   2.244E+02  8.130E+02    1839 A       246 A       219 A   
 200.00 keV   2.494E+02  7.975E+02    2024 A       267 A       238 A   
 225.00 keV   2.851E+02  7.785E+02    2252 A       292 A       261 A   
 250.00 keV   3.041E+02  7.601E+02    2479 A       317 A       284 A   
 275.00 keV   3.151E+02  7.423E+02    2707 A       341 A       307 A   
 300.00 keV   3.225E+02  7.253E+02    2936 A       364 A       329 A   
 325.00 keV   3.284E+02  7.091E+02    3168 A       387 A       351 A   
 350.00 keV   3.341E+02  6.936E+02    3403 A       410 A       373 A   
 375.00 keV   3.402E+02  6.788E+02    3640 A       433 A       396 A   
 400.00 keV   3.469E+02  6.646E+02    3879 A       456 A       418 A   
 450.00 keV   3.626E+02  6.383E+02    4362 A       502 A       462 A   
 500.00 keV   3.809E+02  6.142E+02    4849 A       547 A       506 A   
 550.00 keV   4.011E+02  5.921E+02    5339 A       591 A       549 A   
 600.00 keV   4.226E+02  5.718E+02    5829 A       633 A       592 A   
 650.00 keV   4.447E+02  5.531E+02    6318 A       674 A       635 A   
 700.00 keV   4.669E+02  5.357E+02    6806 A       713 A       677 A   
 800.00 keV   5.101E+02  5.046E+02    7774 A       794 A       758 A   
 900.00 keV   5.504E+02  4.775E+02    8732 A       868 A       837 A   
   1.00 MeV   5.870E+02  4.536E+02    9679 A       936 A       913 A   
   1.10 MeV   6.199E+02  4.323E+02    1.06 um     1001 A       986 A   
   1.20 MeV   6.493E+02  4.133E+02    1.15 um     1062 A      1057 A   
   1.30 MeV   6.757E+02  3.962E+02    1.25 um     1119 A      1125 A   
   1.40 MeV   6.996E+02  3.806E+02    1.34 um     1174 A      1192 A   
   1.50 MeV   7.214E+02  3.664E+02    1.43 um     1226 A      1256 A   
   1.60 MeV   7.416E+02  3.534E+02    1.52 um     1276 A      1319 A   
   1.70 MeV   7.606E+02  3.414E+02    1.61 um     1324 A      1380 A   
   1.80 MeV   7.785E+02  3.304E+02    1.70 um     1370 A      1440 A   
   2.00 MeV   8.122E+02  3.106E+02    1.87 um     1467 A      1555 A   
   2.25 MeV   8.517E+02  2.894E+02    2.09 um     1585 A      1692 A   
   2.50 MeV   8.896E+02  2.713E+02    2.31 um     1693 A      1821 A   
   2.75 MeV   9.268E+02  2.556E+02    2.52 um     1791 A      1944 A   
   3.00 MeV   9.638E+02  2.419E+02    2.72 um     1882 A      2060 A   
   3.25 MeV   1.001E+03  2.297E+02    2.93 um     1966 A      2170 A   
   3.50 MeV   1.039E+03  2.189E+02    3.13 um     2043 A      2275 A   
   3.75 MeV   1.077E+03  2.092E+02    3.32 um     2115 A      2374 A   
   4.00 MeV   1.117E+03  2.004E+02    3.51 um     2182 A      2469 A   
   4.50 MeV   1.197E+03  1.851E+02    3.88 um     2332 A      2643 A   
   5.00 MeV   1.280E+03  1.723E+02    4.23 um     2460 A      2801 A   
   5.50 MeV   1.366E+03  1.613E+02    4.56 um     2572 A      2944 A   
   6.00 MeV   1.454E+03  1.518E+02    4.88 um     2669 A      3073 A   
   6.50 MeV   1.543E+03  1.435E+02    5.18 um     2755 A      3190 A   
   7.00 MeV   1.634E+03  1.361E+02    5.47 um     2830 A      3296 A   
   8.00 MeV   1.817E+03  1.236E+02    6.01 um     3005 A      3482 A   
   9.00 MeV   2.001E+03  1.135E+02    6.50 um     3145 A      3639 A   
  10.00 MeV   2.183E+03  1.050E+02    6.95 um     3258 A      3772 A   
  11.00 MeV   2.360E+03  9.787E+01    7.37 um     3353 A      3887 A   
  12.00 MeV   2.533E+03  9.171E+01    7.76 um     3433 A      3987 A   
  13.00 MeV   2.700E+03  8.636E+01    8.13 um     3502 A      4075 A   
  14.00 MeV   2.859E+03  8.165E+01    8.48 um     3562 A      4152 A   
  15.00 MeV   3.012E+03  7.748E+01    8.81 um     3615 A      4222 A   
  16.00 MeV   3.157E+03  7.375E+01    9.12 um     3663 A      4285 A   
  17.00 MeV   3.294E+03  7.040E+01    9.43 um     3705 A      4342 A   
  18.00 MeV   3.425E+03  6.737E+01    9.72 um     3744 A      4394 A   
  20.00 MeV   3.666E+03  6.209E+01   10.27 um     3852 A      4486 A   
