 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 14, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.059E+01  4.318E+00     266 A       237 A       184 A   
   1.50 keV   2.131E+01  4.249E+00     284 A       247 A       193 A   
   1.60 keV   2.201E+01  4.183E+00     302 A       258 A       201 A   
   1.70 keV   2.269E+01  4.118E+00     320 A       268 A       210 A   
   1.80 keV   2.335E+01  4.055E+00     338 A       278 A       218 A   
   2.00 keV   2.461E+01  3.935E+00     373 A       297 A       235 A   
   2.25 keV   2.610E+01  3.795E+00     417 A       319 A       254 A   
   2.50 keV   2.751E+01  3.666E+00     461 A       340 A       273 A   
   2.75 keV   2.886E+01  3.546E+00     504 A       360 A       291 A   
   3.00 keV   3.014E+01  3.434E+00     548 A       379 A       308 A   
   3.25 keV   3.137E+01  3.331E+00     590 A       397 A       324 A   
   3.50 keV   3.256E+01  3.234E+00     633 A       414 A       340 A   
   3.75 keV   3.370E+01  3.144E+00     675 A       430 A       356 A   
   4.00 keV   3.480E+01  3.059E+00     716 A       445 A       370 A   
   4.50 keV   3.673E+01  2.905E+00     799 A       475 A       399 A   
   5.00 keV   3.860E+01  2.768E+00     880 A       501 A       426 A   
   5.50 keV   4.042E+01  2.646E+00     961 A       526 A       451 A   
   6.00 keV   4.217E+01  2.536E+00    1040 A       550 A       475 A   
   6.50 keV   4.386E+01  2.436E+00    1117 A       572 A       499 A   
   7.00 keV   4.547E+01  2.345E+00    1194 A       592 A       520 A   
   8.00 keV   4.849E+01  2.184E+00    1344 A       629 A       562 A   
   9.00 keV   5.123E+01  2.048E+00    1490 A       663 A       600 A   
  10.00 keV   5.372E+01  1.930E+00    1633 A       693 A       635 A   
  11.00 keV   5.600E+01  1.827E+00    1772 A       721 A       668 A   
  12.00 keV   5.812E+01  1.735E+00    1909 A       746 A       699 A   
  13.00 keV   6.011E+01  1.654E+00    2043 A       770 A       729 A   
  14.00 keV   6.202E+01  1.581E+00    2175 A       792 A       756 A   
  15.00 keV   6.387E+01  1.516E+00    2305 A       812 A       783 A   
  16.00 keV   6.568E+01  1.456E+00    2432 A       831 A       808 A   
  17.00 keV   6.747E+01  1.401E+00    2557 A       849 A       832 A   
  18.00 keV   6.923E+01  1.351E+00    2680 A       866 A       855 A   
  20.00 keV   7.270E+01  1.262E+00    2920 A       897 A       898 A   
