 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.415E+01  2.456E+00     427 A       207 A       179 A   
   1.50 keV   2.499E+01  2.370E+00     454 A       215 A       187 A   
   1.60 keV   2.581E+01  2.291E+00     480 A       222 A       195 A   
   1.70 keV   2.661E+01  2.218E+00     506 A       229 A       202 A   
   1.80 keV   2.738E+01  2.151E+00     532 A       236 A       209 A   
   2.00 keV   2.886E+01  2.029E+00     582 A       248 A       222 A   
   2.25 keV   3.053E+01  1.899E+00     644 A       262 A       238 A   
   2.50 keV   3.209E+01  1.787E+00     704 A       275 A       252 A   
   2.75 keV   3.358E+01  1.689E+00     762 A       286 A       265 A   
   3.00 keV   3.500E+01  1.603E+00     819 A       297 A       278 A   
   3.25 keV   3.635E+01  1.527E+00     875 A       307 A       290 A   
   3.50 keV   3.765E+01  1.459E+00     930 A       316 A       301 A   
   3.75 keV   3.891E+01  1.397E+00     983 A       324 A       312 A   
   4.00 keV   4.011E+01  1.342E+00    1036 A       332 A       322 A   
   4.50 keV   4.241E+01  1.244E+00    1137 A       346 A       340 A   
   5.00 keV   4.457E+01  1.162E+00    1235 A       359 A       357 A   
   5.50 keV   4.661E+01  1.091E+00    1330 A       370 A       373 A   
   6.00 keV   4.854E+01  1.029E+00    1422 A       380 A       388 A   
   6.50 keV   5.038E+01  9.749E-01    1512 A       390 A       401 A   
   7.00 keV   5.214E+01  9.268E-01    1599 A       398 A       414 A   
   8.00 keV   5.545E+01  8.451E-01    1766 A       413 A       437 A   
   9.00 keV   5.849E+01  7.782E-01    1927 A       427 A       457 A   
  10.00 keV   6.132E+01  7.222E-01    2081 A       438 A       475 A   
  11.00 keV   6.396E+01  6.745E-01    2229 A       448 A       492 A   
  12.00 keV   6.642E+01  6.334E-01    2372 A       458 A       508 A   
  13.00 keV   6.874E+01  5.976E-01    2511 A       466 A       522 A   
  14.00 keV   7.091E+01  5.660E-01    2647 A       473 A       535 A   
  15.00 keV   7.295E+01  5.379E-01    2779 A       480 A       547 A   
  16.00 keV   7.488E+01  5.128E-01    2907 A       487 A       559 A   
  17.00 keV   7.670E+01  4.901E-01    3033 A       492 A       570 A   
  18.00 keV   7.842E+01  4.696E-01    3157 A       498 A       580 A   
  20.00 keV   8.158E+01  4.337E-01    3397 A       508 A       599 A   
  22.50 keV   8.507E+01  3.966E-01    3687 A       520 A       621 A   
  25.00 keV   8.812E+01  3.659E-01    3966 A       531 A       640 A   
  27.50 keV   9.079E+01  3.399E-01    4238 A       540 A       658 A   
  30.00 keV   9.313E+01  3.178E-01    4503 A       548 A       674 A   
  32.50 keV   9.517E+01  2.986E-01    4762 A       556 A       689 A   
  35.00 keV   9.696E+01  2.817E-01    5017 A       563 A       703 A   
  37.50 keV   9.852E+01  2.669E-01    5268 A       570 A       717 A   
  40.00 keV   9.987E+01  2.536E-01    5515 A       576 A       730 A   
  45.00 keV   1.021E+02  2.310E-01    6002 A       590 A       753 A   
  50.00 keV   1.036E+02  2.124E-01    6481 A       602 A       775 A   
  55.00 keV   1.047E+02  1.968E-01    6954 A       614 A       796 A   
  60.00 keV   1.053E+02  1.835E-01    7425 A       624 A       815 A   
  65.00 keV   1.055E+02  1.720E-01    7894 A       635 A       833 A   
  70.00 keV   1.055E+02  1.619E-01    8363 A       644 A       851 A   
  80.00 keV   1.046E+02  1.452E-01    9306 A       670 A       885 A   
  90.00 keV   1.029E+02  1.319E-01    1.03 um      694 A       917 A   
 100.00 keV   1.008E+02  1.210E-01    1.12 um      718 A       948 A   
 110.00 keV   9.835E+01  1.118E-01    1.22 um      742 A       979 A   
 120.00 keV   9.572E+01  1.040E-01    1.33 um      766 A      1010 A   
 130.00 keV   9.303E+01  9.734E-02    1.43 um      790 A      1041 A   
 140.00 keV   9.033E+01  9.151E-02    1.54 um      814 A      1072 A   
 150.00 keV   8.768E+01  8.639E-02    1.65 um      839 A      1104 A   
 160.00 keV   8.511E+01  8.185E-02    1.77 um      865 A      1136 A   
 170.00 keV   8.263E+01  7.779E-02    1.89 um      891 A      1169 A   
 180.00 keV   8.027E+01  7.415E-02    2.01 um      918 A      1202 A   
 200.00 keV   7.586E+01  6.785E-02    2.26 um     1006 A      1272 A   
 225.00 keV   7.096E+01  6.143E-02    2.60 um     1138 A      1363 A   
 250.00 keV   6.667E+01  5.618E-02    2.96 um     1272 A      1461 A   
 275.00 keV   6.290E+01  5.181E-02    3.35 um     1409 A      1564 A   
 300.00 keV   5.958E+01  4.811E-02    3.76 um     1547 A      1673 A   
 325.00 keV   5.664E+01  4.493E-02    4.19 um     1688 A      1789 A   
 350.00 keV   5.402E+01  4.217E-02    4.64 um     1831 A      1910 A   
 375.00 keV   5.167E+01  3.975E-02    5.11 um     1976 A      2037 A   
 400.00 keV   4.955E+01  3.761E-02    5.60 um     2124 A      2171 A   
 450.00 keV   4.587E+01  3.398E-02    6.65 um     2640 A      2454 A   
 500.00 keV   4.280E+01  3.103E-02    7.77 um     3136 A      2760 A   
 550.00 keV   4.018E+01  2.858E-02    8.98 um     3622 A      3087 A   
 600.00 keV   3.792E+01  2.650E-02   10.25 um     4104 A      3434 A   
 650.00 keV   3.595E+01  2.473E-02   11.60 um     4586 A      3800 A   
 700.00 keV   3.421E+01  2.318E-02   13.03 um     5069 A      4184 A   
 800.00 keV   3.129E+01  2.064E-02   16.08 um     6765 A      5006 A   
 900.00 keV   2.891E+01  1.862E-02   19.40 um     8345 A      5894 A   
   1.00 MeV   2.695E+01  1.698E-02   22.97 um     9874 A      6844 A   
   1.10 MeV   2.565E+01  1.562E-02   26.77 um     1.14 um     7847 A   
   1.20 MeV   2.438E+01  1.447E-02   30.76 um     1.28 um     8892 A   
   1.30 MeV   2.303E+01  1.349E-02   34.97 um     1.43 um     9985 A   
   1.40 MeV   2.182E+01  1.264E-02   39.43 um     1.57 um     1.11 um  
   1.50 MeV   2.074E+01  1.189E-02   44.12 um     1.72 um     1.23 um  
   1.60 MeV   1.977E+01  1.124E-02   49.05 um     1.87 um     1.36 um  
   1.70 MeV   1.889E+01  1.065E-02   54.21 um     2.03 um     1.49 um  
   1.80 MeV   1.809E+01  1.012E-02   59.61 um     2.18 um     1.62 um  
   2.00 MeV   1.670E+01  9.224E-03   71.10 um     2.75 um     1.91 um  
   2.25 MeV   1.525E+01  8.309E-03   86.74 um     3.57 um     2.30 um  
   2.50 MeV   1.406E+01  7.567E-03  103.79 um     4.35 um     2.72 um  
   2.75 MeV   1.305E+01  6.952E-03  122.22 um     5.12 um     3.17 um  
   3.00 MeV   1.219E+01  6.434E-03  142.01 um     5.88 um     3.65 um  
   3.25 MeV   1.145E+01  5.991E-03  163.14 um     6.65 um     4.17 um  
   3.50 MeV   1.080E+01  5.608E-03  185.60 um     7.42 um     4.71 um  
   3.75 MeV   1.022E+01  5.273E-03  209.36 um     8.20 um     5.28 um  
   4.00 MeV   9.713E+00  4.977E-03  234.41 um     9.00 um     5.88 um  
   4.50 MeV   8.843E+00  4.479E-03  288.30 um    11.90 um     7.17 um  
   5.00 MeV   8.129E+00  4.076E-03  347.19 um    14.65 um     8.57 um  
   5.50 MeV   7.530E+00  3.742E-03  411.02 um    17.33 um    10.08 um  
   6.00 MeV   7.021E+00  3.460E-03  479.70 um    20.01 um    11.70 um  
   6.50 MeV   6.582E+00  3.220E-03  553.16 um    22.69 um    13.43 um  
   7.00 MeV   6.198E+00  3.012E-03  631.34 um    25.40 um    15.25 um  
   8.00 MeV   5.562E+00  2.671E-03  801.46 um    35.28 um    19.22 um  
   9.00 MeV   5.053E+00  2.402E-03  989.87 um    44.52 um    23.59 um  
  10.00 MeV   4.637E+00  2.184E-03    1.20 mm    53.57 um    28.35 um  
  11.00 MeV   4.289E+00  2.003E-03    1.42 mm    62.60 um    33.49 um  
  12.00 MeV   3.994E+00  1.852E-03    1.66 mm    71.71 um    39.01 um  
  13.00 MeV   3.740E+00  1.722E-03    1.92 mm    80.92 um    44.91 um  
  14.00 MeV   3.519E+00  1.610E-03    2.20 mm    90.28 um    51.16 um  
  15.00 MeV   3.325E+00  1.513E-03    2.49 mm    99.79 um    57.78 um  
  16.00 MeV   3.153E+00  1.426E-03    2.80 mm   109.46 um    64.75 um  
  17.00 MeV   3.000E+00  1.350E-03    3.12 mm   119.29 um    72.07 um  
  18.00 MeV   2.862E+00  1.282E-03    3.46 mm   129.29 um    79.74 um  
  20.00 MeV   2.625E+00  1.165E-03    4.19 mm   166.54 um    96.09 um  
  22.50 MeV   2.382E+00  1.046E-03    5.19 mm   219.85 um   118.40 um  
  25.00 MeV   2.185E+00  9.504E-04    6.28 mm   270.45 um   142.74 um  
  27.50 MeV   2.021E+00  8.713E-04    7.47 mm   320.12 um   169.05 um  
  30.00 MeV   1.882E+00  8.048E-04    8.75 mm   369.64 um   197.30 um  
  32.50 MeV   1.763E+00  7.480E-04   10.12 mm   419.41 um   227.42 um  
  35.00 MeV   1.659E+00  6.990E-04   11.58 mm   469.65 um   259.40 um  
  37.50 MeV   1.569E+00  6.563E-04   13.13 mm   520.47 um   293.18 um  
  40.00 MeV   1.489E+00  6.187E-04   14.77 mm   571.96 um   328.73 um  
  45.00 MeV   1.354E+00  5.554E-04   18.29 mm   762.77 um   405.06 um  
  50.00 MeV   1.244E+00  5.043E-04   22.14 mm   942.04 um   488.10 um  
  55.00 MeV   1.153E+00  4.621E-04   26.31 mm     1.12 mm   577.63 um  
  60.00 MeV   1.076E+00  4.266E-04   30.79 mm     1.29 mm   673.43 um  
  65.00 MeV   1.010E+00  3.964E-04   35.59 mm     1.46 mm   775.31 um  
  70.00 MeV   9.529E-01  3.703E-04   40.68 mm     1.64 mm   883.08 um  
  80.00 MeV   8.591E-01  3.275E-04   51.72 mm     2.28 mm     1.12 mm  
  90.00 MeV   7.850E-01  2.939E-04   63.89 mm     2.87 mm     1.37 mm  
 100.00 MeV   7.250E-01  2.667E-04   77.13 mm     3.44 mm     1.64 mm  
 110.00 MeV   6.753E-01  2.443E-04   91.41 mm     4.00 mm     1.94 mm  
 120.00 MeV   6.335E-01  2.254E-04  106.69 mm     4.56 mm     2.25 mm  
 130.00 MeV   5.979E-01  2.094E-04  122.92 mm     5.13 mm     2.58 mm  
 140.00 MeV   5.671E-01  1.955E-04  140.08 mm     5.69 mm     2.93 mm  
 150.00 MeV   5.402E-01  1.835E-04  158.13 mm     6.26 mm     3.29 mm  
 160.00 MeV   5.166E-01  1.728E-04  177.05 mm     6.83 mm     3.66 mm  
 170.00 MeV   4.956E-01  1.634E-04  196.79 mm     7.40 mm     4.05 mm  
 180.00 MeV   4.769E-01  1.550E-04  217.34 mm     7.97 mm     4.46 mm  
 200.00 MeV   4.448E-01  1.406E-04  260.74 mm    10.10 mm     5.31 mm  
 225.00 MeV   4.126E-01  1.261E-04  319.05 mm    13.09 mm     6.43 mm  
 250.00 MeV   3.867E-01  1.144E-04  381.60 mm    15.86 mm     7.62 mm  
 275.00 MeV   3.654E-01  1.047E-04  448.07 mm    18.49 mm     8.87 mm  
 300.00 MeV   3.476E-01  9.657E-05  518.18 mm    21.04 mm    10.16 mm  
 325.00 MeV   3.325E-01  8.965E-05  591.67 mm    23.53 mm    11.51 mm  
 350.00 MeV   3.195E-01  8.369E-05  668.32 mm    25.97 mm    12.89 mm  
 375.00 MeV   3.084E-01  7.850E-05  747.90 mm    28.37 mm    14.31 mm  
 400.00 MeV   2.986E-01  7.393E-05  830.23 mm    30.74 mm    15.76 mm  
 450.00 MeV   2.824E-01  6.626E-05    1.00 m     39.33 mm    18.75 mm  
 500.00 MeV   2.695E-01  6.008E-05    1.18 m     47.07 mm    21.82 mm  
 550.00 MeV   2.591E-01  5.498E-05    1.37 m     54.26 mm    24.96 mm  
 600.00 MeV   2.505E-01  5.070E-05    1.57 m     61.07 mm    28.15 mm  
 650.00 MeV   2.433E-01  4.706E-05    1.77 m     67.58 mm    31.38 mm  
 700.00 MeV   2.373E-01  4.392E-05    1.98 m     73.83 mm    34.63 mm  
 800.00 MeV   2.277E-01  3.878E-05    2.41 m     95.88 mm    41.17 mm  
 900.00 MeV   2.206E-01  3.474E-05    2.86 m    114.98 mm    47.72 mm  
   1.00 GeV   2.151E-01  3.149E-05    3.31 m    132.24 mm    54.24 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  9.4077E-03                keV / (ug/cm2) 
  9.4077E-03                MeV / (mg/cm2) 
  9.4077E+00                keV / (mg/cm2) 
  8.3513E-02                 eV / (1E15 atoms/cm2)
  3.9888E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
