 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 94.919 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.240E-01  7.980E+00       2 A         1 A         1 A   
    1.2 eV    8.240E-01  8.481E+00       2 A         1 A         1 A   
    1.3 eV    8.577E-01  8.970E+00       2 A         1 A         1 A   
    1.4 eV    8.901E-01  9.446E+00       2 A         1 A         1 A   
    1.5 eV    9.213E-01  9.911E+00       2 A         1 A         1 A   
    1.6 eV    9.515E-01  1.037E+01       2 A         1 A         1 A   
    1.7 eV    9.808E-01  1.081E+01       2 A         1 A         1 A   
    1.8 eV    1.009E+00  1.125E+01       3 A         1 A         1 A   
      2 eV    1.064E+00  1.210E+01       3 A         1 A         1 A   
   2.25 eV    1.128E+00  1.312E+01       3 A         1 A         1 A   
2.49999 eV    1.189E+00  1.410E+01       3 A         1 A         1 A   
2.74999 eV    1.247E+00  1.506E+01       3 A         1 A         1 A   
2.99999 eV    1.303E+00  1.598E+01       3 A         1 A         1 A   
3.24999 eV    1.356E+00  1.687E+01       3 A         1 A         1 A   
3.49999 eV    1.407E+00  1.774E+01       3 A         1 A         1 A   
3.74999 eV    1.457E+00  1.859E+01       3 A         1 A         1 A   
3.99999 eV    1.504E+00  1.942E+01       4 A         1 A         1 A   
4.49999 eV    1.596E+00  2.102E+01       4 A         1 A         1 A   
4.99999 eV    1.682E+00  2.257E+01       4 A         1 A         1 A   
5.49999 eV    1.764E+00  2.405E+01       4 A         2 A         1 A   
