 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in  H- C.txt

 Ion = Strontium [38] , Mass = 94.919 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.056E+01  3.471E+02      73 A        16 A        12 A   
   1.50 keV   2.129E+01  3.574E+02      75 A        17 A        12 A   
   1.60 keV   2.198E+01  3.672E+02      78 A        17 A        12 A   
   1.70 keV   2.266E+01  3.765E+02      80 A        18 A        13 A   
   1.80 keV   2.332E+01  3.854E+02      82 A        18 A        13 A   
   2.00 keV   2.458E+01  4.021E+02      87 A        19 A        14 A   
   2.25 keV   2.607E+01  4.212E+02      92 A        20 A        14 A   
   2.50 keV   2.748E+01  4.386E+02      97 A        21 A        15 A   
   2.75 keV   2.882E+01  4.547E+02     102 A        22 A        16 A   
   3.00 keV   3.010E+01  4.695E+02     106 A        23 A        17 A   
   3.25 keV   3.133E+01  4.834E+02     111 A        23 A        17 A   
   3.50 keV   3.252E+01  4.963E+02     115 A        24 A        18 A   
   3.75 keV   3.366E+01  5.084E+02     120 A        25 A        19 A   
   4.00 keV   3.476E+01  5.198E+02     124 A        26 A        19 A   
   4.50 keV   3.687E+01  5.408E+02     132 A        27 A        20 A   
   5.00 keV   3.886E+01  5.597E+02     140 A        28 A        22 A   
   5.50 keV   4.076E+01  5.769E+02     148 A        30 A        23 A   
   6.00 keV   4.257E+01  5.926E+02     155 A        31 A        24 A   
   6.50 keV   4.431E+01  6.070E+02     162 A        32 A        25 A   
   7.00 keV   4.598E+01  6.204E+02     169 A        33 A        26 A   
   8.00 keV   4.916E+01  6.443E+02     183 A        35 A        28 A   
   9.00 keV   5.214E+01  6.652E+02     196 A        38 A        29 A   
  10.00 keV   5.496E+01  6.837E+02     209 A        40 A        31 A   
  11.00 keV   5.764E+01  7.002E+02     221 A        42 A        33 A   
  12.00 keV   6.021E+01  7.150E+02     234 A        43 A        35 A   
  13.00 keV   6.267E+01  7.284E+02     246 A        45 A        36 A   
  14.00 keV   6.503E+01  7.405E+02     257 A        47 A        38 A   
  15.00 keV   6.731E+01  7.516E+02     269 A        49 A        39 A   
  16.00 keV   6.952E+01  7.618E+02     280 A        50 A        41 A   
  17.00 keV   7.166E+01  7.712E+02     291 A        52 A        42 A   
  18.00 keV   7.374E+01  7.798E+02     303 A        54 A        44 A   
  20.00 keV   7.773E+01  7.952E+02     324 A        57 A        47 A   
  22.50 keV   8.244E+01  8.115E+02     351 A        61 A        50 A   
  25.00 keV   8.690E+01  8.252E+02     377 A        65 A        54 A   
  27.50 keV   9.114E+01  8.368E+02     403 A        68 A        57 A   
  30.00 keV   9.520E+01  8.466E+02     428 A        72 A        60 A   
  32.50 keV   9.909E+01  8.551E+02     453 A        75 A        63 A   
  35.00 keV   1.028E+02  8.623E+02     477 A        79 A        66 A   
  37.50 keV   1.064E+02  8.686E+02     502 A        82 A        70 A   
  40.00 keV   1.099E+02  8.739E+02     526 A        85 A        73 A   
  45.00 keV   1.166E+02  8.824E+02     574 A        92 A        78 A   
  50.00 keV   1.229E+02  8.886E+02     621 A        98 A        84 A   
  55.00 keV   1.289E+02  8.929E+02     668 A       104 A        90 A   
  60.00 keV   1.346E+02  8.958E+02     714 A       111 A        95 A   
  65.00 keV   1.401E+02  8.975E+02     760 A       117 A       101 A   
  70.00 keV   1.454E+02  8.982E+02     806 A       122 A       106 A   
  80.00 keV   1.555E+02  8.976E+02     897 A       134 A       117 A   
  90.00 keV   1.649E+02  8.947E+02     987 A       146 A       127 A   
