 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 93.926 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    8.015E-01  7.990E+00       2 A         1 A         1 A   
    1.2 eV    8.015E-01  8.492E+00       2 A         1 A         1 A   
    1.3 eV    8.342E-01  8.980E+00       2 A         1 A         1 A   
    1.4 eV    8.657E-01  9.456E+00       2 A         1 A         1 A   
    1.5 eV    8.961E-01  9.921E+00       2 A         1 A         1 A   
    1.6 eV    9.255E-01  1.038E+01       2 A         1 A         1 A   
    1.7 eV    9.539E-01  1.082E+01       2 A         1 A         1 A   
    1.8 eV    9.816E-01  1.126E+01       3 A         1 A         1 A   
      2 eV    1.035E+00  1.211E+01       3 A         1 A         1 A   
   2.25 eV    1.097E+00  1.313E+01       3 A         1 A         1 A   
2.49999 eV    1.157E+00  1.411E+01       3 A         1 A         1 A   
2.74999 eV    1.213E+00  1.506E+01       3 A         1 A         1 A   
2.99999 eV    1.267E+00  1.598E+01       3 A         1 A         1 A   
3.24999 eV    1.319E+00  1.688E+01       3 A         1 A         1 A   
3.49999 eV    1.369E+00  1.775E+01       3 A         1 A         1 A   
3.74999 eV    1.417E+00  1.860E+01       3 A         1 A         1 A   
3.99999 eV    1.463E+00  1.943E+01       4 A         1 A         1 A   
4.49999 eV    1.552E+00  2.103E+01       4 A         1 A         1 A   
4.99999 eV    1.636E+00  2.257E+01       4 A         1 A         1 A   
5.49999 eV    1.716E+00  2.405E+01       4 A         2 A         1 A   
