 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Aluminum.txt

 Ion = Rubidium [37] , Mass = 95.934 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.709E+01  5.779E+02      38 A        15 A        11 A   
   1.50 keV   2.804E+01  5.956E+02      39 A        15 A        11 A   
   1.60 keV   2.896E+01  6.126E+02      40 A        16 A        11 A   
   1.70 keV   2.985E+01  6.288E+02      41 A        16 A        12 A   
   1.80 keV   3.071E+01  6.442E+02      43 A        16 A        12 A   
   2.00 keV   3.238E+01  6.734E+02      45 A        17 A        13 A   
   2.25 keV   3.434E+01  7.068E+02      48 A        18 A        13 A   
   2.50 keV   3.620E+01  7.375E+02      50 A        19 A        14 A   
   2.75 keV   3.796E+01  7.658E+02      53 A        20 A        15 A   
   3.00 keV   3.965E+01  7.920E+02      55 A        21 A        15 A   
   3.25 keV   4.127E+01  8.166E+02      58 A        21 A        16 A   
   3.50 keV   4.283E+01  8.396E+02      60 A        22 A        16 A   
   3.75 keV   4.433E+01  8.612E+02      62 A        23 A        17 A   
   4.00 keV   4.579E+01  8.817E+02      64 A        23 A        17 A   
   4.50 keV   4.856E+01  9.194E+02      68 A        25 A        18 A   
   5.00 keV   5.119E+01  9.536E+02      73 A        26 A        19 A   
   5.50 keV   5.369E+01  9.847E+02      77 A        27 A        20 A   
   6.00 keV   5.608E+01  1.013E+03      80 A        28 A        21 A   
   6.50 keV   5.837E+01  1.040E+03      84 A        29 A        22 A   
   7.00 keV   6.057E+01  1.064E+03      88 A        31 A        23 A   
   8.00 keV   6.475E+01  1.109E+03      95 A        33 A        25 A   
   9.00 keV   6.868E+01  1.147E+03     102 A        35 A        26 A   
  10.00 keV   7.239E+01  1.182E+03     108 A        36 A        28 A   
  11.00 keV   7.593E+01  1.213E+03     115 A        38 A        29 A   
  12.00 keV   7.930E+01  1.241E+03     121 A        40 A        31 A   
  13.00 keV   8.254E+01  1.267E+03     128 A        42 A        32 A   
  14.00 keV   8.566E+01  1.290E+03     134 A        43 A        34 A   
  15.00 keV   8.866E+01  1.312E+03     140 A        45 A        35 A   
  16.00 keV   9.157E+01  1.332E+03     146 A        47 A        36 A   
  17.00 keV   9.439E+01  1.350E+03     151 A        48 A        37 A   
  18.00 keV   9.713E+01  1.367E+03     157 A        50 A        39 A   
  20.00 keV   1.024E+02  1.398E+03     168 A        53 A        41 A   
  22.50 keV   1.086E+02  1.431E+03     182 A        56 A        44 A   
  25.00 keV   1.145E+02  1.459E+03     196 A        60 A        47 A   
  27.50 keV   1.201E+02  1.484E+03     209 A        63 A        50 A   
  30.00 keV   1.254E+02  1.505E+03     222 A        67 A        53 A   
  32.50 keV   1.305E+02  1.523E+03     235 A        70 A        55 A   
  35.00 keV   1.354E+02  1.539E+03     248 A        73 A        58 A   
  37.50 keV   1.402E+02  1.554E+03     261 A        76 A        61 A   
  40.00 keV   1.448E+02  1.566E+03     273 A        80 A        63 A   
  45.00 keV   1.536E+02  1.587E+03     298 A        86 A        68 A   
  50.00 keV   1.619E+02  1.604E+03     323 A        92 A        73 A   
  55.00 keV   1.698E+02  1.617E+03     347 A        98 A        78 A   
  60.00 keV   1.773E+02  1.627E+03     371 A       104 A        83 A   
  65.00 keV   1.846E+02  1.634E+03     395 A       109 A        87 A   
  70.00 keV   1.915E+02  1.640E+03     419 A       115 A        92 A   
  80.00 keV   2.048E+02  1.647E+03     467 A       126 A       101 A   
  90.00 keV   2.172E+02  1.649E+03     514 A       137 A       110 A   
 100.00 keV   2.289E+02  1.647E+03     561 A       148 A       118 A   
 110.00 keV   2.401E+02  1.643E+03     608 A       159 A       127 A   
 120.00 keV   2.508E+02  1.637E+03     654 A       169 A       135 A   
 130.00 keV   2.610E+02  1.630E+03     701 A       180 A       143 A   
 140.00 keV   2.709E+02  1.622E+03     748 A       190 A       152 A   
 150.00 keV   2.804E+02  1.612E+03     795 A       200 A       160 A   
 160.00 keV   2.896E+02  1.602E+03     842 A       210 A       168 A   
 170.00 keV   2.985E+02  1.592E+03     889 A       220 A       176 A   
 180.00 keV   3.071E+02  1.581E+03     937 A       231 A       184 A   
 200.00 keV   3.513E+02  1.559E+03    1031 A       250 A       200 A   
 225.00 keV   4.293E+02  1.530E+03    1147 A       274 A       220 A   
 250.00 keV   4.784E+02  1.501E+03    1261 A       297 A       239 A   
 275.00 keV   5.103E+02  1.473E+03    1375 A       319 A       258 A   
 300.00 keV   5.321E+02  1.445E+03    1490 A       341 A       276 A   
 325.00 keV   5.484E+02  1.418E+03    1605 A       362 A       294 A   
 350.00 keV   5.619E+02  1.392E+03    1721 A       384 A       312 A   
 375.00 keV   5.742E+02  1.367E+03    1838 A       405 A       331 A   
 400.00 keV   5.862E+02  1.343E+03    1957 A       426 A       348 A   
 450.00 keV   6.110E+02  1.297E+03    2196 A       468 A       384 A   
 500.00 keV   6.378E+02  1.254E+03    2438 A       510 A       420 A   
 550.00 keV   6.664E+02  1.214E+03    2683 A       550 A       455 A   
 600.00 keV   6.961E+02  1.177E+03    2930 A       590 A       491 A   
 650.00 keV   7.264E+02  1.142E+03    3178 A       629 A       526 A   
 700.00 keV   7.568E+02  1.110E+03    3427 A       668 A       561 A   
 800.00 keV   8.162E+02  1.051E+03    3926 A       743 A       630 A   
 900.00 keV   8.726E+02  9.996E+02    4427 A       814 A       699 A   
   1.00 MeV   9.255E+02  9.534E+02    4927 A       883 A       766 A   
   1.10 MeV   9.749E+02  9.121E+02    5427 A       948 A       832 A   
   1.20 MeV   1.021E+03  8.747E+02    5925 A      1010 A       897 A   
   1.30 MeV   1.065E+03  8.408E+02    6423 A      1070 A       961 A   
   1.40 MeV   1.106E+03  8.098E+02    6918 A      1128 A      1023 A   
   1.50 MeV   1.145E+03  7.814E+02    7413 A      1183 A      1084 A   
   1.60 MeV   1.182E+03  7.553E+02    7905 A      1237 A      1144 A   
   1.70 MeV   1.218E+03  7.311E+02    8395 A      1288 A      1203 A   
   1.80 MeV   1.252E+03  7.087E+02    8882 A      1338 A      1261 A   
   2.00 MeV   1.319E+03  6.684E+02    9851 A      1436 A      1373 A   
   2.25 MeV   1.399E+03  6.249E+02    1.10 um     1550 A      1507 A   
   2.50 MeV   1.477E+03  5.876E+02    1.22 um     1655 A      1635 A   
   2.75 MeV   1.553E+03  5.550E+02    1.34 um     1752 A      1757 A   
   3.00 MeV   1.629E+03  5.264E+02    1.45 um     1842 A      1873 A   
   3.25 MeV   1.705E+03  5.010E+02    1.56 um     1925 A      1983 A   
   3.50 MeV   1.781E+03  4.782E+02    1.67 um     2002 A      2088 A   
   3.75 MeV   1.857E+03  4.577E+02    1.78 um     2074 A      2188 A   
   4.00 MeV   1.933E+03  4.392E+02    1.88 um     2140 A      2283 A   
   4.50 MeV   2.086E+03  4.068E+02    2.08 um     2268 A      2459 A   
   5.00 MeV   2.240E+03  3.794E+02    2.27 um     2380 A      2619 A   
   5.50 MeV   2.392E+03  3.559E+02    2.45 um     2478 A      2764 A   
   6.00 MeV   2.542E+03  3.354E+02    2.63 um     2564 A      2897 A   
   6.50 MeV   2.690E+03  3.175E+02    2.79 um     2640 A      3019 A   
   7.00 MeV   2.834E+03  3.016E+02    2.95 um     2709 A      3130 A   
   8.00 MeV   3.112E+03  2.747E+02    3.25 um     2842 A      3328 A   
   9.00 MeV   3.373E+03  2.526E+02    3.54 um     2951 A      3498 A   
  10.00 MeV   3.615E+03  2.342E+02    3.80 um     3044 A      3647 A   
  11.00 MeV   3.840E+03  2.185E+02    4.05 um     3124 A      3779 A   
  12.00 MeV   4.049E+03  2.050E+02    4.29 um     3193 A      3896 A   
  13.00 MeV   4.241E+03  1.933E+02    4.52 um     3255 A      4002 A   
  14.00 MeV   4.420E+03  1.829E+02    4.73 um     3310 A      4099 A   
  15.00 MeV   4.585E+03  1.737E+02    4.95 um     3360 A      4187 A   
  16.00 MeV   4.739E+03  1.655E+02    5.15 um     3406 A      4269 A   
  17.00 MeV   4.882E+03  1.581E+02    5.35 um     3448 A      4345 A   
  18.00 MeV   5.016E+03  1.514E+02    5.55 um     3487 A      4415 A   
  20.00 MeV   5.261E+03  1.397E+02    5.92 um     3577 A      4543 A   
  22.50 MeV   5.530E+03  1.276E+02    6.37 um     3685 A      4684 A   
  25.00 MeV   5.769E+03  1.176E+02    6.80 um     3780 A      4809 A   
  27.50 MeV   5.984E+03  1.092E+02    7.22 um     3865 A      4920 A   
  30.00 MeV   6.182E+03  1.020E+02    7.62 um     3941 A      5020 A   
  32.50 MeV   6.366E+03  9.581E+01    8.01 um     4011 A      5112 A   
  35.00 MeV   6.540E+03  9.036E+01    8.39 um     4075 A      5197 A   
  37.50 MeV   6.704E+03  8.554E+01    8.76 um     4134 A      5275 A   
  40.00 MeV   6.862E+03  8.126E+01    9.13 um     4190 A      5348 A   
  45.00 MeV   7.159E+03  7.396E+01    9.83 um     4347 A      5480 A   
  50.00 MeV   7.438E+03  6.795E+01   10.51 um     4486 A      5597 A   
  55.00 MeV   7.701E+03  6.291E+01   11.16 um     4611 A      5703 A   
  60.00 MeV   7.952E+03  5.863E+01   11.79 um     4724 A      5799 A   
