 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 25, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Aluminum.txt

 Ion = Strontium [38] , Mass = 93.915 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   2.830E+01  5.852E+02      37 A        15 A        11 A   
   1.50 keV   2.929E+01  6.032E+02      38 A        15 A        11 A   
   1.60 keV   3.025E+01  6.204E+02      40 A        15 A        11 A   
   1.70 keV   3.118E+01  6.368E+02      41 A        16 A        12 A   
   1.80 keV   3.208E+01  6.525E+02      42 A        16 A        12 A   
   2.00 keV   3.382E+01  6.821E+02      44 A        17 A        12 A   
   2.25 keV   3.587E+01  7.161E+02      47 A        18 A        13 A   
   2.50 keV   3.781E+01  7.472E+02      49 A        19 A        14 A   
   2.75 keV   3.966E+01  7.759E+02      52 A        20 A        14 A   
   3.00 keV   4.142E+01  8.027E+02      54 A        20 A        15 A   
   3.25 keV   4.311E+01  8.276E+02      56 A        21 A        16 A   
   3.50 keV   4.474E+01  8.510E+02      59 A        22 A        16 A   
   3.75 keV   4.631E+01  8.730E+02      61 A        23 A        17 A   
   4.00 keV   4.783E+01  8.938E+02      63 A        23 A        17 A   
   4.50 keV   5.073E+01  9.322E+02      67 A        25 A        18 A   
   5.00 keV   5.347E+01  9.669E+02      71 A        26 A        19 A   
   5.50 keV   5.608E+01  9.986E+02      75 A        27 A        20 A   
   6.00 keV   5.858E+01  1.028E+03      79 A        28 A        21 A   
   6.50 keV   6.097E+01  1.055E+03      83 A        29 A        22 A   
   7.00 keV   6.327E+01  1.080E+03      86 A        30 A        23 A   
   8.00 keV   6.764E+01  1.125E+03      93 A        32 A        24 A   
   9.00 keV   7.174E+01  1.164E+03     100 A        34 A        26 A   
  10.00 keV   7.562E+01  1.200E+03     106 A        36 A        28 A   
  11.00 keV   7.932E+01  1.231E+03     113 A        38 A        29 A   
  12.00 keV   8.284E+01  1.260E+03     119 A        40 A        30 A   
  13.00 keV   8.623E+01  1.286E+03     125 A        41 A        32 A   
  14.00 keV   8.948E+01  1.310E+03     131 A        43 A        33 A   
  15.00 keV   9.262E+01  1.332E+03     137 A        45 A        35 A   
  16.00 keV   9.566E+01  1.352E+03     143 A        46 A        36 A   
  17.00 keV   9.860E+01  1.371E+03     148 A        48 A        37 A   
  18.00 keV   1.015E+02  1.389E+03     154 A        49 A        38 A   
  20.00 keV   1.069E+02  1.420E+03     165 A        52 A        41 A   
  22.50 keV   1.134E+02  1.454E+03     179 A        56 A        44 A   
  25.00 keV   1.196E+02  1.483E+03     192 A        59 A        47 A   
  27.50 keV   1.254E+02  1.508E+03     205 A        63 A        49 A   
  30.00 keV   1.310E+02  1.530E+03     218 A        66 A        52 A   
  32.50 keV   1.363E+02  1.549E+03     231 A        69 A        55 A   
  35.00 keV   1.415E+02  1.565E+03     243 A        73 A        57 A   
  37.50 keV   1.464E+02  1.580E+03     256 A        76 A        60 A   
  40.00 keV   1.512E+02  1.593E+03     268 A        79 A        63 A   
  45.00 keV   1.604E+02  1.615E+03     292 A        85 A        67 A   
  50.00 keV   1.691E+02  1.632E+03     316 A        91 A        72 A   
  55.00 keV   1.774E+02  1.645E+03     340 A        97 A        77 A   
  60.00 keV   1.852E+02  1.656E+03     364 A       103 A        82 A   
  65.00 keV   1.928E+02  1.664E+03     387 A       108 A        86 A   
  70.00 keV   2.001E+02  1.670E+03     410 A       114 A        91 A   
  80.00 keV   2.139E+02  1.677E+03     457 A       125 A       100 A   
  90.00 keV   2.269E+02  1.679E+03     503 A       136 A       108 A   
 100.00 keV   2.391E+02  1.678E+03     549 A       146 A       117 A   
 110.00 keV   2.508E+02  1.675E+03     594 A       157 A       125 A   
 120.00 keV   2.620E+02  1.669E+03     640 A       167 A       133 A   
 130.00 keV   2.727E+02  1.662E+03     686 A       178 A       142 A   
 140.00 keV   2.830E+02  1.654E+03     731 A       188 A       150 A   
 150.00 keV   2.929E+02  1.644E+03     777 A       198 A       158 A   
